evaluation_cohort,estimand,scenario_id,cost_weight_multiplier,support_penalty_multiplier,row_count,delta_objective,positive,role
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,0.5,0.5,1776,-0.035308262191366055,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,0.5,1.0,1776,-0.03691299192109578,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,0.5,2.0,1776,-0.040122451380555244,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1.0,0.5,1776,-0.07030826219136604,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1.0,1.0,1776,-0.07191299192109578,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1.0,2.0,1776,-0.07512245138055523,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,2.0,0.5,1776,-0.14030826219136602,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,2.0,1.0,1776,-0.14191299192109577,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,2.0,2.0,1776,-0.14512245138055524,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,0.5,0.5,1776,-0.0690972346882126,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,0.5,1.0,1776,-0.07078642387740179,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,0.5,2.0,1776,-0.07416480225578015,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,1.0,0.5,1776,-0.13909723468821258,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,1.0,1.0,1776,-0.14078642387740178,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,1.0,2.0,1776,-0.14416480225578016,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,2.0,0.5,1776,-0.2790972346882126,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,2.0,1.0,1776,-0.28078642387740177,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,2.0,2.0,1776,-0.28416480225578017,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,0.5,1668,-0.06267206138519528,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,1.0,1668,-0.0646954426801593,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,2.0,1668,-0.06874220527008736,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,0.5,1668,-0.1276720613851953,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,1.0,1668,-0.1296954426801593,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,2.0,1668,-0.13374220527008734,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,0.5,1668,-0.2576720613851953,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,1.0,1668,-0.2596954426801593,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,2.0,1668,-0.26374220527008735,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,0.5,1668,-0.09144264028825277,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,1.0,1668,-0.09391566187098659,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,2.0,1668,-0.09886170503645421,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,0.5,1668,-0.19144264028825278,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,1.0,1668,-0.1939156618709866,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,2.0,1668,-0.19886170503645423,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,2.0,0.5,1668,-0.39144264028825276,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,2.0,1.0,1668,-0.39391566187098664,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,2.0,2.0,1668,-0.3988617050364542,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,0.5,0.5,2400,-0.01365058599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,0.5,1.0,2400,-0.013713085993731187,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,0.5,2.0,2400,-0.013838085993731188,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,1.0,0.5,2400,-0.02865058599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,1.0,1.0,2400,-0.02871308599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,1.0,2.0,2400,-0.02883808599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,2.0,0.5,2400,-0.058650585993731186,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,2.0,1.0,2400,-0.05871308599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,2.0,2.0,2400,-0.05883808599373119,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,0.5,0.5,570,-0.019174848040032114,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,0.5,1.0,570,-0.019569584882137375,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,0.5,2.0,570,-0.020359058566347902,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,1.0,0.5,570,-0.03917484804003212,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,1.0,1.0,570,-0.039569584882137375,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,1.0,2.0,570,-0.04035905856634791,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,0.5,570,-0.07917484804003212,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,1.0,570,-0.07956958488213739,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,2.0,570,-0.0803590585663479,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,0.5,2124,-0.02285940794548989,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,1.0,2124,-0.023742176307071816,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,2.0,2124,-0.025507713030235652,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,0.5,2124,-0.047859407945489894,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,1.0,2124,-0.04874217630707181,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,2.0,2124,-0.05050771303023566,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,0.5,2124,-0.09785940794548989,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,1.0,2124,-0.09874217630707181,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,2.0,2124,-0.10050771303023567,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,0.5,2124,-0.055631662050106584,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,1.0,2124,-0.05718533436649077,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,2.0,2124,-0.06029267899925913,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,0.5,2124,-0.11813166205010658,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,1.0,2124,-0.11968533436649077,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,2.0,2124,-0.12279267899925915,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,0.5,2124,-0.24313166205010656,False,descriptive_only
