model_id,model_seed,horizon_months,threshold,f2,recall,precision,selection_year
B0,1729,1,0,0.52835051546391754,1,0.18303571428571427,2021
B0,1729,2,0,0.54292929292929293,1,0.19196428571428573,2021
B0,1729,3,0,0.55000000000000004,1,0.19642857142857142,2021
B1,1729,1,0.16363636363636364,0.61855670103092786,0.87804878048780488,0.28346456692913385,2021
B1,1729,2,0.16094277481321853,0.56856187290969906,0.79069767441860461,0.26771653543307089,2021
B1,1729,3,0.21641905125562491,0.56390977443609014,0.68181818181818177,0.33333333333333331,2021
B1,314159,1,0.16363636363636364,0.61855670103092786,0.87804878048780488,0.28346456692913385,2021
B1,314159,2,0.16175689956244535,0.56856187290969906,0.79069767441860461,0.26771653543307089,2021
B1,314159,3,0.21674987116194763,0.56179775280898869,0.68181818181818177,0.32967032967032966,2021
B1,20260612,1,0.16363636363636364,0.61855670103092786,0.87804878048780488,0.28346456692913385,2021
B1,20260612,2,0.16028391318130888,0.5629139072847682,0.79069767441860461,0.26153846153846155,2021
B1,20260612,3,0.21688335737054709,0.55970149253731338,0.68181818181818177,0.32608695652173914,2021
B1,20260613,1,0.16666666666666666,0.61855670103092786,0.87804878048780488,0.28346456692913385,2021
B1,20260613,2,0.16135288778335943,0.5647840531561461,0.79069767441860461,0.26356589147286824,2021
B1,20260613,3,0.21538632402925739,0.56179775280898869,0.68181818181818177,0.32967032967032966,2021
B1,20260614,1,0.15789473684210525,0.61643835616438369,0.87804878048780488,0.28125,2021
B1,20260614,2,0.12195121951219512,0.55737704918032793,0.79069767441860461,0.25563909774436089,2021
B1,20260614,3,0.21572063991960819,0.55970149253731338,0.68181818181818177,0.32608695652173914,2021
B2,1729,1,0.33333333333333331,0.77981651376146788,0.82926829268292679,0.62962962962962965,2021
B2,1729,2,0.06418655635613095,0.74733096085409245,0.97674418604651159,0.38532110091743121,2021
B2,1729,3,0.074181693612842034,0.75812274368231047,0.95454545454545459,0.41584158415841582,2021
B2,314159,1,0.33333333333333331,0.77981651376146788,0.82926829268292679,0.62962962962962965,2021
B2,314159,2,0.06418655635613095,0.74733096085409245,0.97674418604651159,0.38532110091743121,2021
B2,314159,3,0.074181693612842034,0.75812274368231047,0.95454545454545459,0.41584158415841582,2021
B2,20260612,1,0.33333333333333331,0.77981651376146788,0.82926829268292679,0.62962962962962965,2021
B2,20260612,2,0.06418655635613095,0.74733096085409245,0.97674418604651159,0.38532110091743121,2021
B2,20260612,3,0.074181693612842034,0.75812274368231047,0.95454545454545459,0.41584158415841582,2021
B2,20260613,1,0.33333333333333331,0.77981651376146788,0.82926829268292679,0.62962962962962965,2021
B2,20260613,2,0.06418655635613095,0.74733096085409245,0.97674418604651159,0.38532110091743121,2021
B2,20260613,3,0.074181693612842034,0.75812274368231047,0.95454545454545459,0.41584158415841582,2021
B2,20260614,1,0.33333333333333331,0.77981651376146788,0.82926829268292679,0.62962962962962965,2021
B2,20260614,2,0.06418655635613095,0.74733096085409245,0.97674418604651159,0.38532110091743121,2021
B2,20260614,3,0.074181693612842034,0.75812274368231047,0.95454545454545459,0.41584158415841582,2021
M0,1729,1,0.20000000000000001,0.57228915662650592,0.92682926829268297,0.22619047619047619,2021
M0,1729,2,0.19408655721181886,0.55882352941176472,0.88372093023255816,0.22619047619047619,2021
M0,1729,3,0.18870220233660245,0.59556786703601117,0.97727272727272729,0.23243243243243245,2021
