split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,3,sigma_F,6145,0.04502588453099316,0.024898444684760372,6145,0.045025890405958065,0.02489843978883776,-5.87496490345174e-09,4.895922611769521e-09,1.3047970513147995e-07,-1.9663571907684016e-07
test,3,sigma_N,6145,0.14434069481758577,0.07195513908993044,6145,0.1443406939914012,0.0719551432038149,8.261845652057787e-10,-4.113884455314576e-09,-5.723850581285115e-09,5.717290345266754e-08
test,3,sigma_T,6145,0.08429536427048409,0.04801162730590224,6145,0.0842953510555974,0.04801162637958108,1.3214886684931315e-08,9.263211656063142e-10,-1.567688670780358e-07,-1.9293684373089064e-08
test,3,yF,6145,0.1354826175095067,0.0917701737874887,6145,0.15331670716941503,0.09438421190075995,-0.017834089659908348,-0.0026140381132712526,0.116321893348529,0.027695713728263967
test,3,yN,6145,0.09986234760475424,0.0673103344256166,6145,0.10923848109106296,0.06859222329952933,-0.009376133486308724,-0.0012818888739127288,0.08583178192026149,0.018688545322622964
test,3,yT,6145,0.21829664330434814,0.16995357726045116,6145,0.27922467358933384,0.17920377811976232,-0.060928030284985696,-0.009250200859311164,0.21820432092113332,0.051618336155442174
train,0,all,50000,0.10570267507500035,0.05841279311067529,50000,0.12789680841825346,0.06556309736510119,-0.02219413334325311,-0.007150304254425893,0.17353156515581636,0.10905989103303033
train,0,delta_yF,50000,0.13725531842570607,0.07819920845031739,50000,0.18483224896840753,0.10458704007029533,-0.04757693054270146,-0.026387831619977944,0.2574060035964479,0.25230498541924584
train,0,delta_yN,50000,0.056886760549416805,0.018543871443271638,50000,0.07013713190118719,0.02062672394871712,-0.01325037135177038,-0.0020828525054454802,0.18892091810138728,0.1009783478279896
train,0,delta_yT,50000,0.22073138672409967,0.13419961898803712,50000,0.3030790244791771,0.17700130402475595,-0.08234763775507745,-0.04280168503671883,0.2717035198875503,0.24181564804026784
train,0,sigma_F,50000,0.039915193771306264,0.018755866422653197,50000,0.03991519461850153,0.018755867320001125,-8.471952653299475e-10,-8.97347928602299e-10,2.1224881237012804e-08,4.7843584798948403e-08
train,0,sigma_N,50000,0.05532091863327344,0.011996641201972962,50000,0.05532091964368886,0.011996643759608268,-1.0104154249401809e-09,-2.5576353066686375e-09,1.8264617281275646e-08,2.131959036143083e-07
train,0,sigma_T,50000,0.06261111915297185,0.030931432933807373,50000,0.06261111169750122,0.030931432927548887,7.455470629746941e-09,6.258486784371797e-12,-1.1907583857905665e-07,-2.02334201555781e-10
train,0,yF,50000,0.12476891326870683,0.0731332470703125,50000,0.13642781954461328,0.0739443461549282,-0.011658906275906447,-0.000811099084615699,0.08545842273828812,0.010969048031289426
train,0,yN,50000,0.046687013422009656,0.01494563959300518,50000,0.05045837327558054,0.014340952278077603,-0.0037713598535708825,0.0006046873149275767,0.07474200234267248,-0.04216507406219712
train,0,yT,50000,0.20714745172751256,0.1450096118927002,50000,0.24828945163562383,0.1378835658019781,-0.041141999908111265,0.0071260460907220935,0.1657017631521819,-0.051681620280666266
train,1,all,17487,0.10875728784637867,0.05600550749210214,17487,0.1252963366640271,0.06138662075512845,-0.016539048817648422,-0.005381113263026309,0.13199946030342982,0.08765938240014218
train,1,delta_yF,17487,0.15946022956881398,0.0882278277029091,17487,0.2042647549903252,0.11274173445141103,-0.044804525421511227,-0.02451390674850193,0.21934535609744985,0.2174341814748897
train,1,delta_yN,17487,0.067424087944635,0.021288077353531304,17487,0.07774479568447384,0.022372974085277435,-0.010320707739838841,-0.0010848967317461308,0.13275110763330433,0.048491395359906514
train,1,delta_yT,17487,0.2516359944394578,0.14556690725868737,17487,0.31911417919288526,0.17908318253605662,-0.06747818475342748,-0.03351627527736925,0.21145467407338547,0.18715478920317424
train,1,sigma_F,17487,0.03877108402357688,0.017421152972504253,17487,0.03877108400484824,0.0174211527603244,1.872864363594573e-11,2.121798535481556e-10,-4.830570028324138e-10,-1.2179438207521039e-08
train,1,sigma_N,17487,0.05424762427870794,0.011269356760376346,17487,0.054247625433457076,0.011269359959264614,-1.1547491365893059e-09,-3.198888267122446e-09,2.1286630103390987e-08,2.838571381769219e-07
train,1,sigma_T,17487,0.05901512391521458,0.027890648680703477,17487,0.059015121878477565,0.02789064600502176,2.0367370151541664e-09,2.6756817178563708e-09,-3.451212079758411e-08,-9.593473444016355e-08
train,1,yF,17487,0.11802748411683064,0.06499321562842889,17487,0.1245913765447319,0.06503500469046418,-0.006563892427901258,-4.178906203529398e-05,0.0526833606782138,0.0006425626050799892
train,1,yN,17487,0.04459733208554781,0.01331967748192426,17487,0.046895163499571846,0.012940868103034488,-0.0022978314140240375,0.00037880937888977104,0.04899932621079393,-0.029272331336175544
train,1,yT,17487,0.1856366302446236,0.11407270358985425,17487,0.20302292874747285,0.10372466420530148,-0.017386298502849257,0.010348039384552768,0.08563711798520528,-0.09976450118046146
train,2,all,16759,0.1018512248455609,0.05705759869117154,16759,0.1254992461613103,0.06538497452940215,-0.023648021315749404,-0.008327375838230608,0.18843158057980244,0.12735916620241208
train,2,delta_yF,16759,0.12203453420898328,0.06916065433442332,16759,0.17298618487525944,0.09967924336614882,-0.05095165066627616,-0.030518589031725496,0.2945417329309705,0.306167944309353
