split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
test,3,delta_yF,6145,0.13060409673739823,0.0859372809032195,-1.2542985889754517,0.9604556550040684,0.7886717780030191
test,3,delta_yT,6145,0.2025778518383142,0.14351720759498093,-0.9537309067728463,0.9585028478437754,1.015825116411276
test,0,all,20553,0.12846954928808127,0.07994339554829932,-1.2872370468505328,0.9420198186801603,0.7494640613665972
test,0,yN,20553,0.09563248777356884,0.061514938541185546,-1.513834822690035,0.8917919525130151,0.4656723278639398
test,0,yF,20553,0.1264823441082892,0.08075787715074796,-1.2056101521210028,0.9690069576217584,0.8740178262590579
test,0,yT,20553,0.20032107607657856,0.14390830083501918,-0.9382790268665218,0.964238797255875,1.0496923830574958
test,0,sigma_N,20553,0.14367409151539945,0.06922353941211154,-1.2524124759482345,0.9010849997567265,0.549394149243881
test,0,sigma_F,20553,0.04237447360202733,0.022456583133180233,-1.8084039483483108,0.9835060575098525,0.5600741040310488
test,0,sigma_T,20553,0.07791112807670306,0.042391268428512395,-1.5583071189222966,0.9553349875930521,0.6260345637673608
test,0,delta_yN,20553,0.11763445694009095,0.07357628429996842,-1.3232630347936443,0.8804554079696395,0.49865704780366654
test,0,delta_yF,20553,0.13837267206464848,0.08575811677505017,-1.139624423727365,0.9666715321364278,0.9327281935107231
test,0,delta_yT,20553,0.21382321343542543,0.13990365135891852,-0.8453984182373843,0.9660876757650951,1.1889059567622
