evidence_id,evidence_block,hypothesis_id,cohort,estimand,comparison_or_scenario,horizon_months,metric,estimate,ci95_lower,ci95_upper,denominator,availability_state,adjudication,artifact_path,limitation,authority_commit
DEG:fresh_primary:site_weighted:M0:h1:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,1,aupd_pr_auc,1.081240313,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h1:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,1,aupd_brier,0.9985644747,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h1:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,1,aupd_pr_auc,1.141469533,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h2:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,2,aupd_brier,1.002381185,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h2:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,2,aupd_pr_auc,1.079362797,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h2:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,2,aupd_brier,1.000051061,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h2:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,2,aupd_pr_auc,1.019385517,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h3:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,3,aupd_brier,0.9993317051,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h3:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,3,aupd_pr_auc,1.090484113,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h3:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,3,aupd_brier,0.9980603142,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h3:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:temporal_block,3,aupd_pr_auc,1.033817206,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h1:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,1,aupd_brier,0.9599536027,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h1:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,1,aupd_pr_auc,0.883032546,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h1:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,1,aupd_brier,0.9796040683,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h1:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,1,aupd_pr_auc,0.9506356897,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h2:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,2,aupd_brier,0.922427082,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h2:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,2,aupd_pr_auc,0.8068322734,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h2:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,2,aupd_brier,0.9605591704,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h2:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,2,aupd_pr_auc,0.9108511493,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
