split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
validation,1,all,7079,0.11460348445028294,0.07039434536237867,-1.6730545857527057,0.9153364411169185,0.3672754786149313
validation,1,yN,7079,0.08215053305235147,0.05294452769083734,-2.2238723317316182,0.9550784009040825,0.32222438272841825
validation,1,yF,7079,0.10601084939305493,0.06939083594591508,-1.8827262972182246,0.887837265150445,0.31208988043662095
validation,1,yT,7079,0.16996121095997757,0.1172145989541028,-0.40034729943704533,0.9030936572962283,0.5386380689900917
validation,1,sigma_N,7079,0.11935201095739521,0.05248840651045345,-1.6302744066130899,0.9471676790507134,0.42913369799690876
validation,1,sigma_F,7079,0.048558149094809426,0.02243550299655113,-2.7765282465081578,0.9131233225031784,0.12868089294649143
validation,1,sigma_T,7079,0.07143180082959746,0.044582610245494626,-1.8319679731230798,0.9056363893205255,0.2534054905567689
validation,1,delta_yN,7079,0.09864977111872951,0.05758032143360175,-2.1438473010234937,0.9567735555869473,0.36979436894597467
validation,1,delta_yF,7079,0.12317338506819422,0.07749467691571585,-1.7238508629451987,0.8713095069925131,0.34014616997367597
validation,1,delta_yT,7079,0.21214364957843665,0.139417627568736,-0.444076553174442,0.8980081932476338,0.611366354959431
validation,2,all,6038,0.11988815960418858,0.07509394950490439,-1.3883005419634231,0.8989915718965074,0.3679639292537238
validation,2,yN,6038,0.08711262251670752,0.058099247596642166,-1.9504027390329994,0.9398807552169592,0.30626549709707984
validation,2,yF,6038,0.11339893257041077,0.0763244947955955,-1.715006153249472,0.8853925140775091,0.33227475505271625
validation,2,yT,6038,0.18193601837744586,0.1312799488483339,0.2618644527348117,0.8925140775091089,0.5499212840567681
validation,2,sigma_N,6038,0.1427260981470963,0.06590214293695673,-1.0450173596271264,0.9198410069559457,0.4024588075368047
validation,2,sigma_F,6038,0.05357913588877384,0.025885468960282185,-2.579588206172108,0.898476316661146,0.12856120753659442
validation,2,sigma_T,6038,0.08128998133532157,0.05558361617015979,-1.7050398087098766,0.8736336535276582,0.2503052389594094
validation,2,delta_yN,6038,0.09216727740428787,0.05534629120499774,-1.8359521219532156,0.937727724412057,0.35971749006576514
validation,2,delta_yF,6038,0.12561132600293337,0.07679806848597392,-1.6752854985644305,0.8714806227227558,0.3637821315021142
validation,2,delta_yT,6038,0.20117204419472004,0.13062626654519746,-0.2502774430963921,0.8719774759854256,0.6183889514762623
validation,3,all,5069,0.12325840675178329,0.07893704184859547,-1.3672652247598993,0.8982705333070297,0.3781975178624394
validation,3,yN,5069,0.08946795176804073,0.06080787885962776,-1.862403314243903,0.9343065693430657,0.3062749363351183
validation,3,yF,5069,0.11778327678190022,0.08239907855276385,-1.6394571261801976,0.8853817320970606,0.35204434992176326
validation,3,yT,5069,0.18735331144667525,0.13917463689801443,-0.006963116902998388,0.8946537778654567,0.5693491613824919
validation,3,sigma_N,5069,0.14836838897872814,0.0711143762314195,-0.9651999568581746,0.9066877096074176,0.39901011397933134
validation,3,sigma_F,5069,0.058977012851972536,0.02955987303420199,-2.4462598754377094,0.895442888143618,0.1336518808990617
validation,3,sigma_T,5069,0.08255228289179195,0.05875160727516907,-1.8547296936071278,0.8851844545275203,0.2568861599574312
validation,3,delta_yN,5069,0.09143197242438768,0.054245412784771324,-1.8764192690673394,0.9323337936476622,0.3515697636531876
validation,3,delta_yF,5069,0.12834652180912837,0.0798002014641791,-1.6224208943917686,0.8707831919510751,0.38641377138795174
validation,3,delta_yT,5069,0.2050449418134246,0.13458031153721225,-0.031533776149873925,0.8796606825803907,0.6485775232456168
validation,0,all,18186,0.11892452952928588,0.07433579143634783,-1.493279418741146,0.9051529259381452,0.3705483633560865
validation,0,yN,18186,0.0858929533330658,0.056847723878335865,-2.032324116051453,0.9442428241504454,0.31248021165123474
validation,0,yF,18186,0.11185188694496578,0.07531870430116015,-1.7592342892299322,0.8863411415374464,0.3299280789823248
