split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
validation,0,sigma_F,18186,0.05329586154999573,0.025566720758008313,18186,0.05541879010743788,0.025484409284456642,-0.002122928557442151,8.231147355167168e-05,0.03830701740919508,-0.0032298756715493024
validation,0,sigma_N,18186,0.13580877139736758,0.0621335830780771,18186,0.13592676695589775,0.062099568299596015,-0.00011799555853017618,3.401477848108403e-05,0.0008680818441628979,-0.0005477458122894118
validation,0,sigma_T,18186,0.0779721789477395,0.052184431411036694,18186,0.09297872719669902,0.05263482241508369,-0.015006548248959514,-0.0004503910040469933,0.16139765192970168,0.00855690175023605
validation,0,yF,18186,0.11185188694496578,0.07531870430116015,18186,0.13960507528454708,0.08359512310799994,-0.02775318833958129,-0.008276418806839783,0.198797846589846,0.0990060005790905
validation,0,yN,18186,0.0858929533330658,0.056847723878335865,18186,0.10429087184315453,0.06052063164453518,-0.01839791851008872,-0.0036729077661993154,0.17640967215000158,0.06068852334146065
validation,0,yT,18186,0.17893586902528955,0.12800542788839597,18186,0.2526409534290871,0.15362578852825873,-0.07370508440379755,-0.025620360639862755,0.2917384667980426,0.16677122301735176
validation,1,all,7079,0.11460348445028294,0.07039434536237867,7079,0.15285879952628573,0.08700496712098589,-0.038255315076002785,-0.016610621758607225,0.25026570399975157,0.19091578685972158
validation,1,delta_yF,7079,0.12317338506819422,0.07749467691571585,7079,0.20865455511896702,0.12637161249738238,-0.0854811700507728,-0.04887693558166653,0.4096779483296429,0.38677147988974936
validation,1,delta_yN,7079,0.09864977111872951,0.05758032143360175,7079,0.15875524487033646,0.09300383590745932,-0.06010547375160695,-0.035423514473857574,0.3786046489405636,0.380882295103448
validation,1,delta_yT,7079,0.21214364957843665,0.139417627568736,7079,0.32936052828245466,0.20399671741411973,-0.11721687870401801,-0.06457908984538374,0.3558923083931131,0.31656925985865825
validation,1,sigma_F,7079,0.048558149094809426,0.02243550299655113,7079,0.04968554916675755,0.022243894012504116,-0.0011274000719481217,0.00019160898404701338,0.022690703652369335,-0.008614003642496358
validation,1,sigma_N,7079,0.11935201095739521,0.05248840651045345,7079,0.11939879299540233,0.05241752922880159,-4.678203800712044e-05,7.087728165185853e-05,0.00039181332435179534,-0.0013521675419396523
validation,1,sigma_T,7079,0.07143180082959746,0.044582610245494626,7079,0.07981832565986487,0.04201006014513117,-0.008386524830267403,0.0025725501003634535,0.10507016729473202,-0.06123652504843185
validation,1,yF,7079,0.10601084939305493,0.06939083594591508,7079,0.1259789658327469,0.07259873645060445,-0.01996811643969197,-0.0032079005046893733,0.15850357484440844,0.044186726402215014
validation,1,yN,7079,0.08215053305235147,0.05294452769083734,7079,0.09483473592883768,0.053117398770957835,-0.012684202876486209,-0.00017287108012049857,0.13375060047622436,0.003254509522688008
validation,1,yT,7079,0.16996121095997757,0.1172145989541028,7079,0.20924249788120428,0.11728491966191246,-0.039281286921226705,-7.032070780965682e-05,0.187730921390206,0.0005995716074356747
validation,2,all,6038,0.11988815960418858,0.07509394950490439,6038,0.1580166298839279,0.09470602908706047,-0.03812847027973931,-0.019612079582156078,0.24129403536670044,0.20708374927352588
validation,2,delta_yF,6038,0.12561132600293337,0.07679806848597392,6038,0.18035666561981917,0.11229618046211856,-0.054745339616885796,-0.035498111976144636,0.30353931987346466,0.316111481530927
validation,2,delta_yN,6038,0.09216727740428787,0.05534629120499774,6038,0.13781273447091566,0.08378689073991127,-0.04564545706662779,-0.028440599534913534,0.3312136374179624,0.33943972957772095
validation,2,delta_yT,6038,0.20117204419472004,0.13062626654519746,6038,0.29868976395100405,0.1970857403414776,-0.09751771975628401,-0.06645947379628014,0.32648497379468433,0.3372109706218733
validation,2,sigma_F,6038,0.05357913588877384,0.025885468960282185,6038,0.05558685464601382,0.025707075274239394,-0.0020077187572399777,0.00017839368604279093,0.03611858900859671,-0.006939478106307803
validation,2,sigma_N,6038,0.1427260981470963,0.06590214293695673,6038,0.14283788307930692,0.06585240830754002,-0.00011178493221061792,4.973462941670892e-05,0.0007826000343939031,-0.0007552438960841219
validation,2,sigma_T,6038,0.08128998133532157,0.05558361617015979,6038,0.09792028454456925,0.05721138635389297,-0.016630303209247674,-0.001627770183733182,0.1698351193176757,0.02845185700734937
validation,2,yF,6038,0.11339893257041077,0.0763244947955955,6038,0.14217666075942526,0.0854342422093647,-0.028777728189014487,-0.0091097474137692,0.2024082436266301,0.10662876123422389
validation,2,yN,6038,0.08711262251670752,0.058099247596642166,6038,0.1071807571539593,0.06289618171852683,-0.02006813463725178,-0.004796934121884665,0.18723635818717907,0.07626749336473107
