degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,sigma_T,7154,0.1480256901949874,0.09680712028622816,-0.07240481488705182,0.648448420464076,0.19178222446513135,0.16089411409670867,0.10186944859991216,0.07998070018886112,0.04969427422313902
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,yF,7154,0.2251248114812787,0.11711556007325345,-0.11113528155875078,0.7558009505171932,0.3154503504032525,0.24729455882779083,0.1223091976516634,0.08964915140713042,0.04246318084107972
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,yN,7154,0.2417442302188128,0.12318578795730382,-0.11725473421446662,0.75272574783338,0.04334210358801703,0.2486333908421293,0.12363712608331004,0.027708107104933405,0.0036505064482175937
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,yT,7154,0.26260314305917115,0.18329567367936528,-0.019261805626527573,0.837154039698071,0.4225282607808905,0.3038063278568248,0.1602029973060316,0.13562319484362928,-0.14414634408631155
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,all,252,0.24782415111293937,0.1616822523584872,-0.042757872347707476,0.7341269841269841,0.43891413508367444,0.28913221575176173,0.1808521606308809,0.14286911796189444,0.10599767348933942
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,delta_yF,28,0.22443757715520396,0.18099012766224035,0.1475014451609696,0.5357142857142857,0.5388479663857392,0.19586408384608048,0.13923744077553696,-0.14588429255655633,-0.29986680776481955
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,delta_yN,28,0.1079893686793231,0.07023863186881776,0.04914433986966545,0.7857142857142857,0.18935476975249393,0.15159202664479757,0.09716062791971578,0.2876316052403067,0.27708750578623026
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,delta_yT,28,0.19769042400757095,0.16790248743936384,0.08918731893369826,0.5714285714285714,0.42350238614848684,0.2652043818132236,0.1995261987539614,0.25457331188894505,0.15849402991731035
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,irc1,28,0.16229765137486662,0.13148539963007053,-0.016538266622459406,0.7857142857142857,0.4294144571814935,0.1998134956550569,0.15447354945684913,0.18775430637055082,0.14881609121825837
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_F,28,0.15363285747238817,0.0976055065147046,-0.02364511894656532,0.8571428571428571,0.6085943718041692,0.18819462757766647,0.1141724988796079,0.18364907941388992,0.14510492918590473
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_N,28,0.42391435308158426,0.2750043675680719,-0.2279023133792521,0.6071428571428571,0.28021810044135365,0.4455594346649849,0.29435421956822205,0.04857956065878283,0.06573662177676197
