mifal_degradation_version,scenario_id,scenario_family,scenario_tier,seed,surface,split,horizon_months,mifal_variable,rows,present_rows,coverage_rate
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,Chl_prev,4710,4415,0.9373673036093418
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,Tw,4757,2351,0.4942190456169855
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,TP,4757,4412,0.9274752995585454
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,TN,4757,3283,0.6901408450704225
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,Secchi,4757,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,Turb,4757,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,DOb,4757,2286,0.4805549716207694
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,Chl,4757,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,3,Chl_prev,4757,4354,0.9152827412234602
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,Tw,3049,1413,0.4634306329944244
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,TP,3049,2505,0.8215808461790751
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,TN,3049,1909,0.6261069203017383
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,Secchi,3049,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,Turb,3049,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,DOb,3049,1377,0.45162348310921613
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,Chl,3049,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,1,Chl_prev,3049,2614,0.8573302722204001
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,Tw,3158,1407,0.44553514882837236
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,TP,3158,2640,0.8359721342621913
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,TN,3158,2024,0.6409119696010133
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,Secchi,3158,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,Turb,3158,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,DOb,3158,1372,0.4344521849271691
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,Chl,3158,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,2,Chl_prev,3158,2543,0.805256491450285
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,Tw,3184,1389,0.43624371859296485
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,TP,3184,2676,0.8404522613065326
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,TN,3184,2057,0.6460427135678392
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,Secchi,3184,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,Turb,3184,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,DOb,3184,1354,0.42525125628140703
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,Chl,3184,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,validation,3,Chl_prev,3184,2426,0.7619346733668342
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,Tw,4673,1691,0.36186603894714314
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,TP,4673,3252,0.6959126899208218
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,TN,4673,2381,0.509522790498609
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,Secchi,4673,3210,0.6869248876524716
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,Turb,4673,1642,0.35138026963406804
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,DOb,4673,1623,0.34731435908410013
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,Chl,4673,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,1,Chl_prev,4673,3322,0.7108923603680719
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,Tw,4710,1743,0.3700636942675159
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,TP,4710,3265,0.6932059447983014
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,TN,4710,2368,0.50276008492569
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,Secchi,4710,3218,0.6832271762208068
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,Turb,4710,1693,0.35944798301486197
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,DOb,4710,1725,0.3662420382165605
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,Chl,4710,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,2,Chl_prev,4710,3344,0.7099787685774946
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,Tw,4757,1796,0.37754887534160186
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,TP,4757,3342,0.7025436199285264
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,TN,4757,2458,0.5167122135799874
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,Secchi,4757,3222,0.6773176371662812
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,Turb,4757,1701,0.35757830565482446
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,DOb,4757,1679,0.35295354214841285
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,Chl,4757,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,test,3,Chl_prev,4757,3228,0.6785789363043935
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,Tw,3049,1065,0.3492948507707445
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,TP,3049,1839,0.6031485733027222
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,TN,3049,1423,0.4667103968514267
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,Secchi,3049,2017,0.6615283699573631
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,Turb,3049,1017,0.3335519842571335
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,DOb,3049,1008,0.3306001967858314
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,Chl,3049,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,1,Chl_prev,3049,1944,0.6375860938012463
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,Tw,3158,1091,0.3454718176060798
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,TP,3158,1953,0.6184293856871438
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,TN,3158,1481,0.46896770107663077
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,Secchi,3158,2096,0.6637112096263458
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,Turb,3158,1009,0.3195060164661178
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,DOb,3158,1025,0.324572514249525
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,Chl,3158,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,2,Chl_prev,3158,1915,0.6063964534515516
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,Tw,3184,1025,0.3219221105527638
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,TP,3184,2005,0.6297110552763819
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,TN,3184,1534,0.48178391959798994
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,Secchi,3184,2146,0.6739949748743719
