degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,irc1,1,0.08316935077730547,0.08316935077730547,-0.08316935077730547,0.0,0.0,0.0752623178106917,0.0752623178106917,-0.10505965264719104,-0.10505965264719104
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_F,1,0.01147144507511233,0.01147144507511233,-0.01147144507511233,0.0,0.0,0.01147144507511233,0.01147144507511233,0.0,0.0
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_N,1,2.3841857821338408e-08,2.3841857821338408e-08,-2.3841857821338408e-08,0.0,0.0,2.3841857821338408e-08,2.3841857821338408e-08,0.0,0.0
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_T,1,0.04392577258217628,0.04392577258217628,0.04392577258217628,0.0,0.0,0.042289535676124645,0.042289535676124645,-0.03869129513700015,-0.03869129513700015
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yF,1,0.0028357642676377637,0.0028357642676377637,0.0028357642676377637,0.0,0.0,0.028678609707548652,0.028678609707548652,0.9011191861615472,0.9011191861615472
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yN,1,0.004810214042663574,0.004810214042663574,0.004810214042663574,0.0,0.0,0.0,0.0,,
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yT,1,0.12524759390623108,0.12524759390623108,-0.12524759390623108,0.0,0.0,0.10572385409147278,0.10572385409147278,-0.18466731072692705,-0.18466731072692705
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,all,1989,0.15072654689172585,0.08973673227542253,0.0054378990785738796,0.0457516339869281,0.0,0.21212805747093347,0.11571686958510233,0.2894549231782838,0.22451469178893638
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yF,221,0.13531336750800438,0.08884911211472397,0.026299108465851512,0.08144796380090498,0.0,0.23135807336022948,0.15134487388967374,0.4151344470382127,0.41293609865179487
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yN,221,0.12549778002531997,0.08392648832519875,0.030943188322781617,0.12217194570135746,0.0,0.2449364305610419,0.15702616723363455,0.48763122032169887,0.4655254611142165
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yT,221,0.22663372185474687,0.15267043324830662,0.020499110900168937,0.16289592760180996,0.0,0.3915411738138583,0.2512272607375847,0.42117525049232674,0.3923014851171904
