evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.18672480326857022,0.46540379584034774,0.652128599108918,625,33,2000,2000,0,1.0,-0.3100938326558396,-0.07947523140943254,available,13,20,0.65,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.07589695061393212,0.24781181344897904,0.17191486283504692,609,33,2000,2000,0,1.0,0.022639681494691814,0.13992726370565556,available,12,33,0.36363636363636365,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.18113958832076282,0.4679699862211728,0.6491095745419356,609,33,2000,2000,0,1.0,-0.305188874437067,-0.07391257293366947,available,10,20,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,-0.0020311256285369117,0.24833562524851233,0.25036675087704924,635,32,2000,2000,0,1.0,-0.011532690425615236,0.007156741288891592,available,16,32,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,0.016666365770306002,0.47756280843898136,0.46089644266867535,635,32,2000,2000,0,1.0,-0.027127526540721786,0.05068177313620559,available,9,19,0.47368421052631576,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.001808983758724847,0.24932841418920765,0.2511373979479325,625,33,2000,2000,0,1.0,-0.010687109268083415,0.008170954290150875,available,16,33,0.48484848484848486,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,0.019631954414329467,0.46540379584034774,0.4457718414260183,625,33,2000,2000,0,1.0,-0.014534608690411285,0.05375442415637675,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,-0.00330253231141589,0.24781181344897904,0.25111434576039493,609,33,2000,2000,0,1.0,-0.012762118504150018,0.006104662089312257,available,16,33,0.48484848484848486,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,0.027855337481623055,0.4679699862211728,0.44011464873954975,609,33,2000,2000,0,1.0,-0.013166472336817867,0.06524597716583225,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.07008771388234347,0.2192190773205848,0.14913136343824132,635,32,2000,2000,0,1.0,0.02169938136008267,0.12630205327963093,available,9,32,0.28125,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.20976266012946843,0.4401834751087741,0.6499461352382425,635,32,2000,2000,0,1.0,-0.34171475218151104,-0.08377382800403715,available,10,19,0.5263157894736842,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,0.05735901898573603,0.21438954404780053,0.1570305250620645,625,33,2000,2000,0,1.0,0.006177095002236601,0.11419224250938509,available,11,33,0.3333333333333333,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.22366367831149347,0.37351606260692416,0.5971797409184176,625,33,2000,2000,0,1.0,-0.3345927117794538,-0.08157175648882532,available,13,20,0.65,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.05252667039263931,0.2044061743690338,0.1518795039763945,609,33,2000,2000,0,1.0,0.009928555344382728,0.09983527360232418,available,12,33,0.36363636363636365,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.20708287449256368,0.39676745295971383,0.6038503274522775,609,33,2000,2000,0,1.0,-0.3424292398833293,-0.06568244910683721,available,10,20,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,-0.0055788824942573645,0.2192190773205848,0.22479795981484216,635,32,2000,2000,0,1.0,-0.01576210459994528,0.004671705712912986,available,16,32,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,0.02525057318369417,0.4401834751087741,0.4149329019250799,635,32,2000,2000,0,1.0,-0.022071115438393994,0.06337984508012424,available,9,19,0.47368421052631576,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.0015155185547607586,0.21438954404780053,0.2159050626025613,625,33,2000,2000,0,1.0,-0.010145671433926678,0.007607927911548806,available,16,33,0.48484848484848486,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,0.019841370176787776,0.37351606260692416,0.3536746924301364,625,33,2000,2000,0,1.0,-0.021828844867102404,0.055340767869544415,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,-0.0058710996469247545,0.2044061743690338,0.21027727401595855,609,33,2000,2000,0,1.0,-0.015213787119418495,0.0042412721041646525,available,16,33,0.48484848484848486,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,0.040240676579420875,0.39676745295971383,0.35652677638029295,609,33,2000,2000,0,1.0,-0.01754114910769473,0.08910286584879333,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False
