model_id,model_seed,seed_slot,horizon_months,metric,legacy_value,heldout_value,delta_name,delta,estimable,not_estimable_reason
A0,20260613,20260613,2,rmse,,0.31325733529426447,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,brier,,0.1709488989257546,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,mae,,0.26716035584744524,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,pr_auc,,0.59111554060584603,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,recall,,0.97512437810945274,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,3,rmse,,0.31152442901040384,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,brier,,0.1668684956220774,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,mae,,0.26634382194640255,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,pr_auc,,0.60055342158881886,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,recall,,0.96135265700483097,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,1,rmse,,0.31231452247482644,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,brier,,0.1704273508727519,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,mae,,0.2683728983147432,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,pr_auc,,0.6105936328754622,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,recall,,0.99029126213592233,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,2,rmse,,0.31510597590521922,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,brier,,0.17626283018450678,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,mae,,0.26681187643282189,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,pr_auc,,0.57660260658206852,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260614,20260614,3,rmse,,0.31346513598688935,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,brier,,0.15639253807416623,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,mae,,0.27031808382874273,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,pr_auc,,0.65040850083399093,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,recall,,0.9468599033816425,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,1,rmse,,0.31942517093349654,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,brier,,0.16959105640826452,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,mae,,0.27323001220925314,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,pr_auc,,0.62080167238814377,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,2,rmse,,0.32294304777683308,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,brier,,0.16827707427549402,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,mae,,0.27204967439014766,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,pr_auc,,0.6151677995578424,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,1729,1729,3,rmse,,0.31808186353061429,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,brier,,0.16275462376242433,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,mae,,0.27061560755471964,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,pr_auc,,0.61699036320437528,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,recall,,0.9468599033816425,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,1,rmse,,0.31324511561995688,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,brier,,0.17546250833954097,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,mae,,0.24781634821342205,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,pr_auc,,0.61545448903010036,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,recall,,0.99029126213592233,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,2,rmse,,0.30033677593633895,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,brier,,0.17078331048317474,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,mae,,0.25527932594334352,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,pr_auc,,0.57597722233597481,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,314159,314159,3,rmse,,0.30590848985818991,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,brier,,0.17554283439360624,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,mae,,0.25706706109185967,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,pr_auc,,0.57381334748720014,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,recall,,0.99516908212560384,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,1,rmse,,0.30907956124562985,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,brier,,0.18197946191293221,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,mae,,0.26212562388196647,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,pr_auc,,0.57534943444901276,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,2,rmse,,0.31165010860642106,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,brier,,0.17954258607085305,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,mae,,0.2797204024554461,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,pr_auc,,0.58762890405114376,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260612,20260612,3,rmse,,0.32497853052310577,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,brier,,0.16611013241569414,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,mae,,0.26162634969529708,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,pr_auc,,0.61669581487038305,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,recall,,0.99516908212560384,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,1,rmse,,0.30804498430978444,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,brier,,0.17924146186247128,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,mae,,0.26026010288854057,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,pr_auc,,0.57302271086082479,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,2,rmse,,0.30850662041559179,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,brier,,0.17910703569812442,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,mae,,0.27066809646198281,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,pr_auc,,0.5899260454853924,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260613,20260613,3,rmse,,0.31533220415417557,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,brier,,0.169626123554596,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,mae,,0.27314058295504701,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,pr_auc,,0.59447022492525237,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,recall,,0.99516908212560384,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,1,rmse,,0.32096776002814881,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,brier,,0.18026848362837805,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,mae,,0.26990059282677037,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,pr_auc,,0.57182184342000486,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,2,rmse,,0.31753638727186001,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,brier,,0.18710063070891822,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,mae,,0.25777818933554331,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,pr_auc,,0.53245497628612826,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A1,20260614,20260614,3,rmse,,0.31567849694400896,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,brier,,0.20415952398462375,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,mae,,,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,pr_auc,,0.28536880290205563,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,prediction_availability_rate,,0.18426916221033868,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,1,rmse,,,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,brier,,0.21166089303234994,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,mae,,,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,pr_auc,,0.30419580419580422,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,prediction_availability_rate,,0.19117647058823528,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,2,rmse,,,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,3,brier,,0.20377149224324381,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,3,mae,,,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
B0,1729,1729,3,pr_auc,,0.28327228327228327,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
