evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,estimand,endpoint,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,metric,estimate,status
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.3940889918886503,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.6061109030041921,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.16425654884183946,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.3728520180824303,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.4348575090443397,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.5035187992374919,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.3184716948390025,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.4252092696316293,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.4128754666782082,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.4128754666782081,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.4849624060150376,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.7914110429447853,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.1902654867256637,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.3862027550022833,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.42972305443680214,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4841195424906767,estimated
fresh_primary,A1,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.30860316517698655,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.42295703325475337,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.39612576190879617,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.3961257619087962,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.5748548414858806,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.891874491491103,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.23736551105955636,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.42461192826189165,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.4010635281261172,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4581688958268249,estimated
fresh_primary,A1,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.32539505087833726,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.369707365970081,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.41152038723587214,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.41152038723587214,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.4641185647425897,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.7531645569620253,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.18307692307692308,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.3779010462482921,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.42803202140786706,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.48198888728032896,estimated
fresh_primary,A1,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.3257573947995994,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.33843542458496184,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.41320388735278096,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.4132038873527811,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.4981214721821723,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.8133575372706406,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.19531914514064022,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.3891619974753759,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.39960388861143037,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.46090695541648746,estimated
fresh_primary,A1,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.33002963704585664,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.319263655180713,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.4013728871204283,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.40137288712042835,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.4051796157059315,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.6466666666666666,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.1624790619765494,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.3595692643496763,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.431161682017556,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.4835254005998577,estimated
fresh_primary,A1,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.329101682486284,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.2515260212838199,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.38880879441440186,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.3830018913121729,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.38340895021610155,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.593803067411851,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.1586126909089301,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.36092837560177676,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.4311179846172777,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.48437596448847237,estimated
fresh_primary,A1,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.3182596833196716,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.42658722206216854,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.4127881017812577,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.4127881017812577,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.4849624060150376,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.7914110429447853,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.1902654867256637,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.3862027550022833,estimated
