evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed
legacy_posthoc,B1,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260613,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260613,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260613,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
