evaluation_cohort,model_id,horizon_months,chlorophyll_cutoff_ugL,primary_endpoint,metric,estimate,rows,interpretation,inference_performed
fresh_primary,A1,2,33.0,False,macro_f1,0.3647052597536236,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,50.0,False,brier,0.35274981631925245,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,50.0,False,f2,0.26457883369330454,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,50.0,False,recall,0.7101449275362319,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,50.0,False,precision,0.07538461538461538,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,50.0,False,macro_f1,0.2974440185620588,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,25.0,False,brier,0.3248084419011355,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,25.0,False,f2,0.4466313398940197,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,25.0,False,recall,0.6519337016574586,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,25.0,False,precision,0.19765494137353434,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,25.0,False,macro_f1,0.3784854672858446,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,30.0,True,brier,0.33002963704585664,885,primary_calibrated_endpoint,False
fresh_primary,A1,3,30.0,True,f2,0.4051796157059315,885,primary_calibrated_endpoint,False
fresh_primary,A1,3,30.0,True,recall,0.6466666666666666,885,primary_calibrated_endpoint,False
fresh_primary,A1,3,30.0,True,precision,0.1624790619765494,885,primary_calibrated_endpoint,False
fresh_primary,A1,3,30.0,True,macro_f1,0.3595692643496763,885,primary_calibrated_endpoint,False
fresh_primary,A1,3,33.0,False,brier,0.33308448335336893,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,33.0,False,f2,0.37777777777777777,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,33.0,False,recall,0.6439393939393939,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,33.0,False,precision,0.1423785594639866,885,predeclared_endpoint_sensitivity_without_recalibration,False
