evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,success_rate,evaluable_rate,abstention_rate,failure_rate
legacy_posthoc,B2,1729,seed,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,314159,seed,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,314159,seed,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,314159,seed,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260612,seed,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260612,seed,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260612,seed,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260613,seed,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260613,seed,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260613,seed,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260614,seed,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260614,seed,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,20260614,seed,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,M0,-1,family,1,4488,804,1307,827,826,635,0.29122103386809267,0.1840463458110517,0.7087789661319073,0.7087789661319073
legacy_posthoc,M0,-1,family,2,4488,804,1307,858,857,625,0.29122103386809267,0.1909536541889483,0.7087789661319073,0.7087789661319073
legacy_posthoc,M0,-1,family,3,4488,804,1307,819,818,609,0.29122103386809267,0.18226381461675578,0.7087789661319073,0.7087789661319073
legacy_posthoc,P0,-1,family,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,-1,family,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P0,-1,family,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P0,1729,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,1729,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P0,1729,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P0,314159,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,314159,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P0,314159,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260612,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260612,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260612,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260613,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260613,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260613,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260614,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P0,20260614,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
