source_id,split,horizon_months,feature_family,feature_name,column,rows,present_rows,coverage_rate,sites_with_value,bloom_positive
lakebed_us_cse,test,1,physicochemical,DO_mgL,mean_DO_mgL,163,141,0.8650306748466258,14,22
lakebed_us_cse,test,1,physicochemical,pH,mean_pH,163,0,0.0,0,22
lakebed_us_cse,test,1,temperature,temperature_C,mean_temperature_C,163,142,0.8711656441717791,14,22
lakebed_us_cse,test,2,light_proxy,secchi_depth_m,mean_secchi_depth_m,151,89,0.5894039735099338,14,19
lakebed_us_cse,test,2,light_proxy,turbidity_NTU,mean_turbidity_NTU,151,0,0.0,0,19
lakebed_us_cse,test,2,nutrient,TN_TP_ratio,TN_TP_ratio,151,57,0.37748344370860926,7,19
lakebed_us_cse,test,2,nutrient,TN_ugL,mean_TN_ugL,151,57,0.37748344370860926,7,19
lakebed_us_cse,test,2,nutrient,TP_ugL,mean_TP_ugL,151,60,0.3973509933774834,7,19
lakebed_us_cse,test,2,nutrient,log_TN,log_TN,151,57,0.37748344370860926,7,19
lakebed_us_cse,test,2,nutrient,log_TP,log_TP,151,60,0.3973509933774834,7,19
lakebed_us_cse,test,2,physicochemical,DO_mgL,mean_DO_mgL,151,130,0.8609271523178808,14,19
lakebed_us_cse,test,2,physicochemical,pH,mean_pH,151,0,0.0,0,19
lakebed_us_cse,test,2,temperature,temperature_C,mean_temperature_C,151,132,0.8741721854304636,14,19
lakebed_us_cse,test,3,light_proxy,secchi_depth_m,mean_secchi_depth_m,143,84,0.5874125874125874,14,17
lakebed_us_cse,test,3,light_proxy,turbidity_NTU,mean_turbidity_NTU,143,0,0.0,0,17
lakebed_us_cse,test,3,nutrient,TN_TP_ratio,TN_TP_ratio,143,56,0.3916083916083916,7,17
lakebed_us_cse,test,3,nutrient,TN_ugL,mean_TN_ugL,143,56,0.3916083916083916,7,17
lakebed_us_cse,test,3,nutrient,TP_ugL,mean_TP_ugL,143,59,0.4125874125874126,7,17
lakebed_us_cse,test,3,nutrient,log_TN,log_TN,143,56,0.3916083916083916,7,17
lakebed_us_cse,test,3,nutrient,log_TP,log_TP,143,59,0.4125874125874126,7,17
lakebed_us_cse,test,3,physicochemical,DO_mgL,mean_DO_mgL,143,124,0.8671328671328671,14,17
lakebed_us_cse,test,3,physicochemical,pH,mean_pH,143,0,0.0,0,17
lakebed_us_cse,test,3,temperature,temperature_C,mean_temperature_C,143,126,0.8811188811188811,14,17
lakebed_us_cse,train,1,light_proxy,secchi_depth_m,mean_secchi_depth_m,2760,2659,0.9634057971014492,21,311
lakebed_us_cse,train,1,light_proxy,turbidity_NTU,mean_turbidity_NTU,2760,0,0.0,0,311
lakebed_us_cse,train,1,nutrient,TN_TP_ratio,TN_TP_ratio,2760,2261,0.8192028985507246,21,311
lakebed_us_cse,train,1,nutrient,TN_ugL,mean_TN_ugL,2760,2268,0.8217391304347826,21,311
lakebed_us_cse,train,1,nutrient,TP_ugL,mean_TP_ugL,2760,2442,0.8847826086956522,21,311
lakebed_us_cse,train,1,nutrient,log_TN,log_TN,2760,2268,0.8217391304347826,21,311
lakebed_us_cse,train,1,nutrient,log_TP,log_TP,2760,2442,0.8847826086956522,21,311
lakebed_us_cse,train,1,physicochemical,DO_mgL,mean_DO_mgL,2760,2737,0.9916666666666667,21,311
lakebed_us_cse,train,1,physicochemical,pH,mean_pH,2760,0,0.0,0,311
lakebed_us_cse,train,1,temperature,temperature_C,mean_temperature_C,2760,2748,0.9956521739130435,21,311
lakebed_us_cse,train,2,light_proxy,secchi_depth_m,mean_secchi_depth_m,2776,2676,0.9639769452449568,21,305
lakebed_us_cse,train,2,light_proxy,turbidity_NTU,mean_turbidity_NTU,2776,0,0.0,0,305
lakebed_us_cse,train,2,nutrient,TN_TP_ratio,TN_TP_ratio,2776,2285,0.8231268011527377,21,305
lakebed_us_cse,train,2,nutrient,TN_ugL,mean_TN_ugL,2776,2295,0.8267291066282421,21,305
lakebed_us_cse,train,2,nutrient,TP_ugL,mean_TP_ugL,2776,2454,0.8840057636887608,21,305
lakebed_us_cse,train,2,nutrient,log_TN,log_TN,2776,2295,0.8267291066282421,21,305
lakebed_us_cse,train,2,nutrient,log_TP,log_TP,2776,2454,0.8840057636887608,21,305
lakebed_us_cse,train,2,physicochemical,DO_mgL,mean_DO_mgL,2776,2760,0.9942363112391931,21,305
lakebed_us_cse,train,2,physicochemical,pH,mean_pH,2776,0,0.0,0,305
lakebed_us_cse,train,2,temperature,temperature_C,mean_temperature_C,2776,2765,0.9960374639769453,21,305
lakebed_us_cse,train,3,light_proxy,secchi_depth_m,mean_secchi_depth_m,2768,2674,0.9660404624277457,21,287
lakebed_us_cse,train,3,light_proxy,turbidity_NTU,mean_turbidity_NTU,2768,0,0.0,0,287
lakebed_us_cse,train,3,nutrient,TN_TP_ratio,TN_TP_ratio,2768,2272,0.8208092485549133,21,287
lakebed_us_cse,train,3,nutrient,TN_ugL,mean_TN_ugL,2768,2282,0.8244219653179191,21,287
lakebed_us_cse,train,3,nutrient,TP_ugL,mean_TP_ugL,2768,2436,0.880057803468208,21,287
lakebed_us_cse,train,3,nutrient,log_TN,log_TN,2768,2282,0.8244219653179191,21,287
lakebed_us_cse,train,3,nutrient,log_TP,log_TP,2768,2436,0.880057803468208,21,287
lakebed_us_cse,train,3,physicochemical,DO_mgL,mean_DO_mgL,2768,2748,0.9927745664739884,21,287
lakebed_us_cse,train,3,physicochemical,pH,mean_pH,2768,0,0.0,0,287
lakebed_us_cse,train,3,temperature,temperature_C,mean_temperature_C,2768,2759,0.9967485549132948,21,287
lakebed_us_cse,validation,1,light_proxy,secchi_depth_m,mean_secchi_depth_m,445,392,0.8808988764044944,21,55
lakebed_us_cse,validation,1,light_proxy,turbidity_NTU,mean_turbidity_NTU,445,0,0.0,0,55
lakebed_us_cse,validation,1,nutrient,TN_TP_ratio,TN_TP_ratio,445,320,0.7191011235955056,20,55
lakebed_us_cse,validation,1,nutrient,TN_ugL,mean_TN_ugL,445,322,0.7235955056179775,20,55
lakebed_us_cse,validation,1,nutrient,TP_ugL,mean_TP_ugL,445,328,0.7370786516853932,20,55
lakebed_us_cse,validation,1,nutrient,log_TN,log_TN,445,322,0.7235955056179775,20,55
lakebed_us_cse,validation,1,nutrient,log_TP,log_TP,445,328,0.7370786516853932,20,55
lakebed_us_cse,validation,1,physicochemical,DO_mgL,mean_DO_mgL,445,441,0.9910112359550561,21,55
lakebed_us_cse,validation,1,physicochemical,pH,mean_pH,445,0,0.0,0,55
lakebed_us_cse,validation,1,temperature,temperature_C,mean_temperature_C,445,443,0.9955056179775281,21,55
lakebed_us_cse,validation,2,light_proxy,secchi_depth_m,mean_secchi_depth_m,430,361,0.8395348837209302,21,55
lakebed_us_cse,validation,2,light_proxy,turbidity_NTU,mean_turbidity_NTU,430,0,0.0,0,55
lakebed_us_cse,validation,2,nutrient,TN_TP_ratio,TN_TP_ratio,430,309,0.7186046511627907,20,55
lakebed_us_cse,validation,2,nutrient,TN_ugL,mean_TN_ugL,430,310,0.7209302325581395,20,55
lakebed_us_cse,validation,2,nutrient,TP_ugL,mean_TP_ugL,430,317,0.7372093023255814,20,55
lakebed_us_cse,validation,2,nutrient,log_TN,log_TN,430,310,0.7209302325581395,20,55
lakebed_us_cse,validation,2,nutrient,log_TP,log_TP,430,317,0.7372093023255814,20,55
