model_id,base_seed,horizon_months,target,coverage,quantile,score,quantile_method,rows
P0,20260612,3,yT,0.95,0.22642260789871216,absolute_state_residual,higher,177
P0,20260612,3,sigma_N,0.8,0.06720922887325287,absolute_state_residual,higher,177
P0,20260612,3,sigma_N,0.9,0.08719006180763245,absolute_state_residual,higher,177
P0,20260612,3,sigma_N,0.95,0.11561605334281921,absolute_state_residual,higher,177
P0,20260612,3,sigma_F,0.8,0.06329470872879028,absolute_state_residual,higher,177
P0,20260612,3,sigma_F,0.9,0.07989959418773651,absolute_state_residual,higher,177
P0,20260612,3,sigma_F,0.95,0.09084459394216537,absolute_state_residual,higher,177
P0,20260612,3,sigma_T,0.8,0.04777524620294571,absolute_state_residual,higher,177
P0,20260612,3,sigma_T,0.9,0.0616941973567009,absolute_state_residual,higher,177
P0,20260612,3,sigma_T,0.95,0.0758417621254921,absolute_state_residual,higher,177
P0,20260612,3,delta_yN,0.8,0.13690094836056232,absolute_state_residual,higher,177
P0,20260612,3,delta_yN,0.9,0.206905797123909,absolute_state_residual,higher,177
P0,20260612,3,delta_yN,0.95,0.28501874953508377,absolute_state_residual,higher,177
P0,20260612,3,delta_yF,0.8,0.2193741574883461,absolute_state_residual,higher,177
P0,20260612,3,delta_yF,0.9,0.2704807501286268,absolute_state_residual,higher,177
P0,20260612,3,delta_yF,0.95,0.32820810936391354,absolute_state_residual,higher,177
P0,20260612,3,delta_yT,0.8,0.13986435532569885,absolute_state_residual,higher,177
P0,20260612,3,delta_yT,0.9,0.2621150277554989,absolute_state_residual,higher,177
P0,20260612,3,delta_yT,0.95,0.35405829548835754,absolute_state_residual,higher,177
P0,20260613,1,yN,0.8,0.11022710800170898,absolute_state_residual,higher,273
P0,20260613,1,yN,0.9,0.17990237474441528,absolute_state_residual,higher,273
P0,20260613,1,yN,0.95,0.24617791175842285,absolute_state_residual,higher,273
P0,20260613,1,yF,0.8,0.18906110525131226,absolute_state_residual,higher,273
P0,20260613,1,yF,0.9,0.23996926844120026,absolute_state_residual,higher,273
P0,20260613,1,yF,0.95,0.287969172000885,absolute_state_residual,higher,273
P0,20260613,1,yT,0.8,0.14024627208709717,absolute_state_residual,higher,273
P0,20260613,1,yT,0.9,0.25408846139907837,absolute_state_residual,higher,273
P0,20260613,1,yT,0.95,0.39087793231010437,absolute_state_residual,higher,273
P0,20260613,1,sigma_N,0.8,0.0501214861869812,absolute_state_residual,higher,273
P0,20260613,1,sigma_N,0.9,0.07172443717718124,absolute_state_residual,higher,273
P0,20260613,1,sigma_N,0.95,0.10514764487743378,absolute_state_residual,higher,273
P0,20260613,1,sigma_F,0.8,0.06513640284538269,absolute_state_residual,higher,273
P0,20260613,1,sigma_F,0.9,0.09906506538391113,absolute_state_residual,higher,273
P0,20260613,1,sigma_F,0.95,0.10947801172733307,absolute_state_residual,higher,273
P0,20260613,1,sigma_T,0.8,0.05593883991241455,absolute_state_residual,higher,273
P0,20260613,1,sigma_T,0.9,0.07627049088478088,absolute_state_residual,higher,273
P0,20260613,1,sigma_T,0.95,0.09795677661895752,absolute_state_residual,higher,273
P0,20260613,1,delta_yN,0.8,0.1137661263346672,absolute_state_residual,higher,273
P0,20260613,1,delta_yN,0.9,0.16724593937397003,absolute_state_residual,higher,273
P0,20260613,1,delta_yN,0.95,0.24381302297115326,absolute_state_residual,higher,273
P0,20260613,1,delta_yF,0.8,0.19679303001612425,absolute_state_residual,higher,273
P0,20260613,1,delta_yF,0.9,0.2515621557831764,absolute_state_residual,higher,273
P0,20260613,1,delta_yF,0.95,0.3019407242536545,absolute_state_residual,higher,273
P0,20260613,1,delta_yT,0.8,0.13711611926555634,absolute_state_residual,higher,273
P0,20260613,1,delta_yT,0.9,0.2527775466442108,absolute_state_residual,higher,273
P0,20260613,1,delta_yT,0.95,0.3917037844657898,absolute_state_residual,higher,273
P0,20260613,2,yN,0.8,0.11966881155967712,absolute_state_residual,higher,221
P0,20260613,2,yN,0.9,0.20020222663879395,absolute_state_residual,higher,221
P0,20260613,2,yN,0.95,0.2821139991283417,absolute_state_residual,higher,221
P0,20260613,2,yF,0.8,0.18260908126831055,absolute_state_residual,higher,221
P0,20260613,2,yF,0.9,0.2429264783859253,absolute_state_residual,higher,221
P0,20260613,2,yF,0.95,0.28095050156116486,absolute_state_residual,higher,221
P0,20260613,2,yT,0.8,0.15723764896392822,absolute_state_residual,higher,221
P0,20260613,2,yT,0.9,0.2342340350151062,absolute_state_residual,higher,221
P0,20260613,2,yT,0.95,0.3314679265022278,absolute_state_residual,higher,221
P0,20260613,2,sigma_N,0.8,0.05064225196838379,absolute_state_residual,higher,221
P0,20260613,2,sigma_N,0.9,0.09382076561450958,absolute_state_residual,higher,221
P0,20260613,2,sigma_N,0.95,0.11765575408935547,absolute_state_residual,higher,221
P0,20260613,2,sigma_F,0.8,0.0622229278087616,absolute_state_residual,higher,221
P0,20260613,2,sigma_F,0.9,0.09359653294086456,absolute_state_residual,higher,221
P0,20260613,2,sigma_F,0.95,0.10887226462364197,absolute_state_residual,higher,221
P0,20260613,2,sigma_T,0.8,0.051149748265743256,absolute_state_residual,higher,221
P0,20260613,2,sigma_T,0.9,0.07592727243900299,absolute_state_residual,higher,221
P0,20260613,2,sigma_T,0.95,0.09717796742916107,absolute_state_residual,higher,221
P0,20260613,2,delta_yN,0.8,0.13310140371322632,absolute_state_residual,higher,221
P0,20260613,2,delta_yN,0.9,0.19225875288248062,absolute_state_residual,higher,221
P0,20260613,2,delta_yN,0.95,0.2749749422073364,absolute_state_residual,higher,221
P0,20260613,2,delta_yF,0.8,0.21177911758422852,absolute_state_residual,higher,221
P0,20260613,2,delta_yF,0.9,0.27878548949956894,absolute_state_residual,higher,221
P0,20260613,2,delta_yF,0.95,0.3509528636932373,absolute_state_residual,higher,221
P0,20260613,2,delta_yT,0.8,0.17470842227339745,absolute_state_residual,higher,221
P0,20260613,2,delta_yT,0.9,0.25582268089056015,absolute_state_residual,higher,221
P0,20260613,2,delta_yT,0.95,0.35426074266433716,absolute_state_residual,higher,221
P0,20260613,3,yN,0.8,0.14846032857894897,absolute_state_residual,higher,177
P0,20260613,3,yN,0.9,0.20738959312438965,absolute_state_residual,higher,177
P0,20260613,3,yN,0.95,0.24924170970916748,absolute_state_residual,higher,177
P0,20260613,3,yF,0.8,0.21082982420921326,absolute_state_residual,higher,177
P0,20260613,3,yF,0.9,0.2646346390247345,absolute_state_residual,higher,177
P0,20260613,3,yF,0.95,0.3046587109565735,absolute_state_residual,higher,177
P0,20260613,3,yT,0.8,0.15082097053527832,absolute_state_residual,higher,177
P0,20260613,3,yT,0.9,0.1932671070098877,absolute_state_residual,higher,177
P0,20260613,3,yT,0.95,0.2562052011489868,absolute_state_residual,higher,177
P0,20260613,3,sigma_N,0.8,0.06212174892425537,absolute_state_residual,higher,177
P0,20260613,3,sigma_N,0.9,0.08537900447845459,absolute_state_residual,higher,177
P0,20260613,3,sigma_N,0.95,0.11755803227424622,absolute_state_residual,higher,177
P0,20260613,3,sigma_F,0.8,0.06143501400947571,absolute_state_residual,higher,177
P0,20260613,3,sigma_F,0.9,0.08078333735466003,absolute_state_residual,higher,177
P0,20260613,3,sigma_F,0.95,0.09978507459163666,absolute_state_residual,higher,177
P0,20260613,3,sigma_T,0.8,0.05506186932325363,absolute_state_residual,higher,177
P0,20260613,3,sigma_T,0.9,0.06915319710969925,absolute_state_residual,higher,177
P0,20260613,3,sigma_T,0.95,0.0848870724439621,absolute_state_residual,higher,177
P0,20260613,3,delta_yN,0.8,0.13602446019649506,absolute_state_residual,higher,177
P0,20260613,3,delta_yN,0.9,0.2137603871524334,absolute_state_residual,higher,177
P0,20260613,3,delta_yN,0.95,0.3043743818998337,absolute_state_residual,higher,177
P0,20260613,3,delta_yF,0.8,0.2239644005894661,absolute_state_residual,higher,177
P0,20260613,3,delta_yF,0.9,0.28765999898314476,absolute_state_residual,higher,177
P0,20260613,3,delta_yF,0.95,0.33154256269335747,absolute_state_residual,higher,177
P0,20260613,3,delta_yT,0.8,0.15531428065150976,absolute_state_residual,higher,177
P0,20260613,3,delta_yT,0.9,0.25459901988506317,absolute_state_residual,higher,177
P0,20260613,3,delta_yT,0.95,0.3553561419248581,absolute_state_residual,higher,177
P0,20260614,1,yN,0.8,0.11152279376983643,absolute_state_residual,higher,273
P0,20260614,1,yN,0.9,0.16092079877853394,absolute_state_residual,higher,273
P0,20260614,1,yN,0.95,0.2229137122631073,absolute_state_residual,higher,273
P0,20260614,1,yF,0.8,0.18964266777038574,absolute_state_residual,higher,273
P0,20260614,1,yF,0.9,0.23613202571868896,absolute_state_residual,higher,273
P0,20260614,1,yF,0.95,0.2833499312400818,absolute_state_residual,higher,273
P0,20260614,1,yT,0.8,0.13778012990951538,absolute_state_residual,higher,273
P0,20260614,1,yT,0.9,0.23254233598709106,absolute_state_residual,higher,273
P0,20260614,1,yT,0.95,0.38324037194252014,absolute_state_residual,higher,273
P0,20260614,1,sigma_N,0.8,0.04975545406341553,absolute_state_residual,higher,273
P0,20260614,1,sigma_N,0.9,0.07091206312179565,absolute_state_residual,higher,273
P0,20260614,1,sigma_N,0.95,0.0949975848197937,absolute_state_residual,higher,273
P0,20260614,1,sigma_F,0.8,0.06345869600772858,absolute_state_residual,higher,273
P0,20260614,1,sigma_F,0.9,0.08914816379547119,absolute_state_residual,higher,273
P0,20260614,1,sigma_F,0.95,0.10955460369586945,absolute_state_residual,higher,273
P0,20260614,1,sigma_T,0.8,0.04777601361274719,absolute_state_residual,higher,273
P0,20260614,1,sigma_T,0.9,0.07028169929981232,absolute_state_residual,higher,273
P0,20260614,1,sigma_T,0.95,0.08725465834140778,absolute_state_residual,higher,273
P0,20260614,1,delta_yN,0.8,0.11694367974996567,absolute_state_residual,higher,273
P0,20260614,1,delta_yN,0.9,0.16045229882001877,absolute_state_residual,higher,273
P0,20260614,1,delta_yN,0.95,0.21238785982131958,absolute_state_residual,higher,273
P0,20260614,1,delta_yF,0.8,0.1803254336118698,absolute_state_residual,higher,273
P0,20260614,1,delta_yF,0.9,0.22832153737545013,absolute_state_residual,higher,273
P0,20260614,1,delta_yF,0.95,0.28829923272132874,absolute_state_residual,higher,273
P0,20260614,1,delta_yT,0.8,0.14075279235839844,absolute_state_residual,higher,273
P0,20260614,1,delta_yT,0.9,0.24033737182617188,absolute_state_residual,higher,273
P0,20260614,1,delta_yT,0.95,0.3856581449508667,absolute_state_residual,higher,273
P0,20260614,2,yN,0.8,0.12115181237459183,absolute_state_residual,higher,221
P0,20260614,2,yN,0.9,0.19906878471374512,absolute_state_residual,higher,221
P0,20260614,2,yN,0.95,0.26991140842437744,absolute_state_residual,higher,221
P0,20260614,2,yF,0.8,0.18030226230621338,absolute_state_residual,higher,221
P0,20260614,2,yF,0.9,0.23783567547798157,absolute_state_residual,higher,221
P0,20260614,2,yF,0.95,0.2765912413597107,absolute_state_residual,higher,221
P0,20260614,2,yT,0.8,0.13966834545135498,absolute_state_residual,higher,221
P0,20260614,2,yT,0.9,0.19484221935272217,absolute_state_residual,higher,221
P0,20260614,2,yT,0.95,0.3047630786895752,absolute_state_residual,higher,221
P0,20260614,2,sigma_N,0.8,0.05758025497198105,absolute_state_residual,higher,221
P0,20260614,2,sigma_N,0.9,0.08406803011894226,absolute_state_residual,higher,221
P0,20260614,2,sigma_N,0.95,0.10903462767601013,absolute_state_residual,higher,221
P0,20260614,2,sigma_F,0.8,0.05947872996330261,absolute_state_residual,higher,221
P0,20260614,2,sigma_F,0.9,0.0881289541721344,absolute_state_residual,higher,221
P0,20260614,2,sigma_F,0.95,0.10310104489326477,absolute_state_residual,higher,221
P0,20260614,2,sigma_T,0.8,0.03997533768415451,absolute_state_residual,higher,221
P0,20260614,2,sigma_T,0.9,0.05393200367689133,absolute_state_residual,higher,221
P0,20260614,2,sigma_T,0.95,0.08208521455526352,absolute_state_residual,higher,221
P0,20260614,2,delta_yN,0.8,0.13085325807332993,absolute_state_residual,higher,221
P0,20260614,2,delta_yN,0.9,0.1891821101307869,absolute_state_residual,higher,221
P0,20260614,2,delta_yN,0.95,0.28347405791282654,absolute_state_residual,higher,221
P0,20260614,2,delta_yF,0.8,0.21115883253514767,absolute_state_residual,higher,221
P0,20260614,2,delta_yF,0.9,0.27878446504473686,absolute_state_residual,higher,221
P0,20260614,2,delta_yF,0.95,0.3371213227510452,absolute_state_residual,higher,221
P0,20260614,2,delta_yT,0.8,0.18655404075980186,absolute_state_residual,higher,221
P0,20260614,2,delta_yT,0.9,0.27742771804332733,absolute_state_residual,higher,221
P0,20260614,2,delta_yT,0.95,0.33215397596359253,absolute_state_residual,higher,221
P0,20260614,3,yN,0.8,0.13394898921251297,absolute_state_residual,higher,177
P0,20260614,3,yN,0.9,0.18408268690109253,absolute_state_residual,higher,177
P0,20260614,3,yN,0.95,0.2903766632080078,absolute_state_residual,higher,177
P0,20260614,3,yF,0.8,0.2172098159790039,absolute_state_residual,higher,177
P0,20260614,3,yF,0.9,0.2645820677280426,absolute_state_residual,higher,177
P0,20260614,3,yF,0.95,0.30546292662620544,absolute_state_residual,higher,177
P0,20260614,3,yT,0.8,0.1352507472038269,absolute_state_residual,higher,177
P0,20260614,3,yT,0.9,0.16971373558044434,absolute_state_residual,higher,177
P0,20260614,3,yT,0.95,0.23755306005477905,absolute_state_residual,higher,177
P0,20260614,3,sigma_N,0.8,0.07120802998542786,absolute_state_residual,higher,177
P0,20260614,3,sigma_N,0.9,0.08698289096355438,absolute_state_residual,higher,177
P0,20260614,3,sigma_N,0.95,0.10497456789016724,absolute_state_residual,higher,177
P0,20260614,3,sigma_F,0.8,0.06064628064632416,absolute_state_residual,higher,177
P0,20260614,3,sigma_F,0.9,0.07042591273784637,absolute_state_residual,higher,177
P0,20260614,3,sigma_F,0.95,0.08282364904880524,absolute_state_residual,higher,177
P0,20260614,3,sigma_T,0.8,0.03841317445039749,absolute_state_residual,higher,177
P0,20260614,3,sigma_T,0.9,0.04541800916194916,absolute_state_residual,higher,177
P0,20260614,3,sigma_T,0.95,0.07644392549991608,absolute_state_residual,higher,177
P0,20260614,3,delta_yN,0.8,0.13112995028495789,absolute_state_residual,higher,177
P0,20260614,3,delta_yN,0.9,0.2072044312953949,absolute_state_residual,higher,177
P0,20260614,3,delta_yN,0.95,0.2915017083287239,absolute_state_residual,higher,177
P0,20260614,3,delta_yF,0.8,0.20449990779161453,absolute_state_residual,higher,177
P0,20260614,3,delta_yF,0.9,0.26958074420690536,absolute_state_residual,higher,177
P0,20260614,3,delta_yF,0.95,0.3299956088885665,absolute_state_residual,higher,177
P0,20260614,3,delta_yT,0.8,0.14380833506584167,absolute_state_residual,higher,177
P0,20260614,3,delta_yT,0.9,0.24420282244682312,absolute_state_residual,higher,177
P0,20260614,3,delta_yT,0.95,0.35793815180659294,absolute_state_residual,higher,177
P0,314159,1,yN,0.8,0.11433190107345581,absolute_state_residual,higher,273
