evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots,artifact_path,authority_commit,limitation
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,brier,lower,0.9796040683,descriptive_available,0.009196271868,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,pr_auc,higher,0.9506356897,descriptive_available,0.03647904412,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,brier,lower,0.9229565377,descriptive_available,0.0180540684,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,pr_auc,higher,0.826921707,descriptive_available,0.06464030222,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9516823759,descriptive_available,0.007982717285,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,0.9016724116,descriptive_available,0.0230639261,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,brier,lower,0.922427082,descriptive_available,0.0119439908,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,pr_auc,higher,0.8068322734,descriptive_available,0.04632361215,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,brier,lower,0.9605591704,descriptive_available,0.01523270422,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,pr_auc,higher,0.9108511493,descriptive_available,0.03436927403,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,brier,lower,0.9306021547,descriptive_available,0.02964488334,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
