score_name,horizon_months,split,rows,bloom_rows,risk_rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,risk_rmse,risk_mae
irc1_no_chla,3,train,365093,365093,365093,0.5,78556,0.2151670944115609,0.32741347834976986,0.6544309697885969,0.26729453190497476,0.7620296349101278,0.5185558942838827,0.42256552885188187,0.36182966998540705
irc1_no_chla,3,validation,41154,41154,41154,0.5,6876,0.1670797492345823,0.31059119700134197,0.658467102948173,0.2733951434874124,0.7414194299011053,0.5085100127573217,0.4200720163501445,0.35448901847653824
irc1_adaptive,1,test,55151,55151,55151,0.5,8933,0.1619734909611793,0.6409885457707201,0.8950126042775094,0.16573844088446923,0.8646591290719803,0.7135393017416922,0.30011287916875323,0.2659740060034801
irc1_adaptive,1,train,432276,432276,432276,0.5,87722,0.20293053512108006,0.616096293034124,0.8789395716292047,0.18100620567698653,0.875413237272292,0.7272490008692234,0.32076021364338797,0.28799123420942374
irc1_adaptive,1,validation,52222,52222,52222,0.5,8075,0.1546283175673088,0.5796820845008898,0.8773021262134295,0.17540366071127897,0.8523839009287926,0.6956030643712694,0.31296593997929917,0.27820475640000303
irc1_adaptive,2,test,50423,50423,50423,0.5,8956,0.1776173571584396,0.5888996597459198,0.8539653587656185,0.17041393216348197,0.7879633765073694,0.7028167913056895,0.3148672371460701,0.2766893755333694
irc1_adaptive,2,train,399759,399759,399759,0.5,84552,0.21150743322852017,0.5677480676519859,0.8421874996824742,0.18512761438129438,0.8065332576402687,0.7126919694970485,0.335875680942462,0.3004899223667321
irc1_adaptive,2,validation,47050,47050,47050,0.5,7629,0.16214665249734325,0.5237749976407262,0.8362795085151977,0.1786932411520464,0.7725783195700616,0.6809943498156036,0.32671281309641936,0.28827941044815963
irc1_adaptive,3,test,43696,43696,43696,0.5,7933,0.1815497986085683,0.5706832412778133,0.8334815615043247,0.1725065290245004,0.7432245052313122,0.6918218975950006,0.3250843160747265,0.2849076457551851
irc1_adaptive,3,train,365093,365093,365093,0.5,78556,0.2151670944115609,0.5292550911662034,0.8117151994161901,0.19012137912746246,0.7604384133611691,0.6954824154561983,0.34724861685010344,0.30989118224079293
irc1_adaptive,3,validation,41154,41154,41154,0.5,6876,0.1670797492345823,0.498307500765636,0.8118593111363572,0.17970702495484372,0.7180046538685282,0.6708865799348902,0.3353201248497144,0.29481942716325515
irc1_no_chla_adaptive,1,test,55151,55151,55151,0.5,8933,0.1619734909611793,0.4725099726147286,0.8237642000094588,0.2058967332420181,0.8363371767603269,0.6354664360360393,0.3572887180086127,0.3218921994434851
irc1_no_chla_adaptive,1,train,432276,432276,432276,0.5,87722,0.20293053512108006,0.42276987630791985,0.7682113868124297,0.2232874860630562,0.849159845876747,0.5785981461481493,0.37867382099229746,0.34316715945796294
irc1_no_chla_adaptive,1,validation,52222,52222,52222,0.5,8075,0.1546283175673088,0.42123999347948476,0.7966262096074885,0.21745800116274197,0.8277399380804954,0.6027447842490424,0.3673714937284557,0.3311218345238968
irc1_no_chla_adaptive,2,test,50423,50423,50423,0.5,8956,0.1776173571584396,0.43909630186413906,0.7800076551021868,0.20703867327978878,0.7651853506029478,0.6322500188798514,0.3634859567517805,0.3261346574027979
irc1_no_chla_adaptive,2,train,399759,399759,399759,0.5,84552,0.21150743322852017,0.393966479131474,0.7320878460910134,0.22439938644431798,0.7923644621061595,0.5698383901607237,0.385947593554757,0.3492798808111536
irc1_no_chla_adaptive,2,validation,47050,47050,47050,0.5,7629,0.16214665249734325,0.37893270966738657,0.7580567620487977,0.2174385915765932,0.7620920173023987,0.5975039245838274,0.3717507780554336,0.33367585204805167
irc1_no_chla_adaptive,3,test,43696,43696,43696,0.5,7933,0.1815497986085683,0.41969121402404896,0.7521895629130554,0.20786654021397968,0.7147359132736669,0.623950984303988,0.3700637137483132,0.33194375682182653
irc1_no_chla_adaptive,3,train,365093,365093,365093,0.5,78556,0.2151670944115609,0.35838279709269166,0.6964667326968986,0.22729462146475934,0.7465375019094659,0.5548499946256529,0.3934966983884983,0.35564886861154665
irc1_no_chla_adaptive,3,validation,41154,41154,41154,0.5,6876,0.1670797492345823,0.3593548356294368,0.7254339102267566,0.21649052910358635,0.703606748109366,0.5945602556422689,0.37610781856114844,0.3366853959956345
