score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
meta_logistic,2,test,all,115691,0.7999999999999999,16765,0.14491187732840066,0.6397350237213828,0.8977348123559223,0.13366489594382774,0.6135401133313451,0.7804463150418572
meta_logistic,2,test,aquamatch_chla,65117,0.7999999999999999,7790,0.1196308183730823,0.5654312154676395,0.8924780339834986,0.12159815577092803,0.5848523748395379,0.7647344261178644
meta_logistic,2,test,lakebed_us_cse,151,0.7999999999999999,19,0.12582781456953643,0.6486475206709365,0.8791866028708134,0.16577032630646463,0.7368421052631579,0.8270992366412213
meta_logistic,2,test,wqp,50423,0.7999999999999999,8956,0.1776173571584396,0.6912332114244928,0.9005490051964565,0.14915191575331854,0.6382313532827155,0.7928473106149896
source_selector,2,test,all,115691,0.26759993589983205,16765,0.14491187732840066,0.5977753789313389,0.8804074917612474,0.08169085427202202,0.6405010438413361,0.7714840010848805
source_selector,2,test,aquamatch_chla,65117,0.26759993589983205,7790,0.1196308183730823,0.49784922894932826,0.8738758839370551,0.07245098697451509,0.6156611039794608,0.7586544796317216
source_selector,2,test,lakebed_us_cse,151,0.26759993589983205,19,0.12582781456953643,0.5826645497659126,0.8734051036682615,0.07309564182057733,0.6842105263157895,0.7787545787545788
source_selector,2,test,wqp,50423,0.26759993589983205,8956,0.1776173571584396,0.6641940900856574,0.8799554827160516,0.09364909388275376,0.6620142920946851,0.7810894913315634
baseline_calibrated,2,validation,all,154216,0.3,19697,0.1277234528194221,0.48543746003126387,0.8592061526218207,0.07880085630440918,0.5817637203635071,0.7503431964854907
baseline_calibrated,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.451511081985619,0.858555000924113,0.07273868938121454,0.5779572130192292,0.741327610316436
baseline_calibrated,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.32877627867252696,0.7594666666666667,0.09901920455558265,0.4727272727272727,0.6865152156530736
baseline_calibrated,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.5495013861412832,0.8577614003731675,0.09236849836532522,0.5885437147725783,0.7651051866930484
irc1_calibrated,2,validation,all,154216,0.3180428134556575,19697,0.1277234528194221,0.49763759949316233,0.8583457241978574,0.0802684871821533,0.5587145250545769,0.7395675596084099
irc1_calibrated,2,validation,aquamatch_chla,106736,0.3180428134556575,12013,0.1125487183330835,0.4518147135917253,0.8585671926015837,0.0726686924091842,0.5778739698659785,0.7413100763659388
irc1_calibrated,2,validation,lakebed_us_cse,430,0.3180428134556575,55,0.12790697674418605,0.2014237584237453,0.6849212121212122,0.12072208359863534,0.05454545454545454,0.4854565537555228
irc1_calibrated,2,validation,wqp,47050,0.3180428134556575,7629,0.16214665249734325,0.5607630346322413,0.8497866311410293,0.09713940425821158,0.5321798400838904,0.736141006559307
irc1_no_chla_calibrated,2,validation,all,154216,0.2,19697,0.1277234528194221,0.2021706753383734,0.6069266887529043,0.10691832892434051,0.27445803929532414,0.5841599906520092
irc1_no_chla_calibrated,2,validation,aquamatch_chla,106736,0.2,12013,0.1125487183330835,0.1125487183330835,0.5,0.09988197591863411,0.0,0.4701850004219221
irc1_no_chla_calibrated,2,validation,lakebed_us_cse,430,0.2,55,0.12790697674418605,0.12768511252348388,0.5058909090909092,0.13167460355411414,0.14545454545454545,0.46016103606792585
irc1_no_chla_calibrated,2,validation,wqp,47050,0.2,7629,0.16214665249734325,0.319822986807496,0.7107047520461245,0.12265450270385755,0.7075632455105518,0.575473193557264
