metric_scope,score_name,source_id,horizon_months,split,rows,threshold,pr_auc,roc_auc,brier,recall,macro_f1
target_calibrated,irc1_no_chla,lakebed_us_cse,2,test,151,0.2,0.13945020136483569,0.43959330143540665,0.12326054745366403,0.10526315789473684,0.4550524934383202
target_calibrated,irc1_no_chla,wqp,2,test,50423,0.2,0.3490230256279254,0.7211615215090614,0.13029161524697006,0.7022108083966057,0.5991202728622917
target_calibrated,irc1_no_chla,all,3,validation,136038,0.2,0.19401890268163474,0.5923349423804087,0.1074981018061661,0.2577545030787823,0.5800309625633079
target_calibrated,irc1_no_chla,aquamatch_chla,3,validation,94463,0.2,0.11062532420100991,0.5,0.09838758305690788,0.0,0.470724355095363
target_calibrated,irc1_no_chla,lakebed_us_cse,3,validation,421,0.2,0.12842768802324087,0.49401165871754105,0.12575731222597847,0.0784313725490196,0.44509507346585997
target_calibrated,irc1_no_chla,wqp,3,validation,41154,0.2,0.30358470267693266,0.6822064629923738,0.12822317847002476,0.6508144269924374,0.5708983670940062
target_calibrated,irc1_no_chla,all,3,test,99670,0.2,0.2411147271457498,0.6267183776292711,0.11907993147550394,0.3541908600314229,0.5977231799048097
target_calibrated,irc1_no_chla,aquamatch_chla,3,test,55831,0.2,0.11980799197578407,0.5,0.10554721740399414,0.0,0.468139426328675
target_calibrated,irc1_no_chla,lakebed_us_cse,3,test,143,0.2,0.11447239805703982,0.3933239962651727,0.11706335653945808,0.058823529411764705,0.44184231069476976
target_calibrated,irc1_no_chla,wqp,3,test,43696,0.2,0.3233505715326696,0.6895913348955669,0.13637747197216996,0.653472834993067,0.585909082910413
