model_version,source_id,horizon_months,split,decile,rows,bloom_positive,bloom_rate,base_bloom_rate,lift,capture_rate,cumulative_capture_rate,mean_pred_probability,min_pred_probability,max_pred_probability
current_refined_fuzzy_v0,wqp,1,validation,6,5223,140,0.026804518475971664,0.1546283175673088,0.17334805744299595,0.0173374613003096,0.9706501547987616,0.030156669917166787,0.02820352405418568,0.03215070215070215
current_refined_fuzzy_v0,wqp,1,validation,7,5222,97,0.01857525852163922,0.1546283175673088,0.12012843969251309,0.012012383900928793,0.9826625386996904,0.0279920643035175,0.027908838995137256,0.02820352405418568
current_refined_fuzzy_v0,wqp,1,validation,8,5222,91,0.01742627345844504,0.1546283175673088,0.11269781455689373,0.011269349845201239,0.9939318885448917,0.025039485039516685,0.02267282328709013,0.027908838995137256
current_refined_fuzzy_v0,wqp,1,validation,9,5222,41,0.007851397931826886,0.1546283175673088,0.05077593842673234,0.005077399380804953,0.9990092879256965,0.02191504294871257,0.0212768926446738,0.02267282328709013
current_refined_fuzzy_v0,wqp,1,validation,10,5222,8,0.0015319800842589046,0.1546283175673088,0.009907500180825823,0.0009907120743034056,1.0,0.020339565841436053,0.019991191873721996,0.0212768926446738
current_refined_fuzzy_v0,all,2,test,1,11570,7665,0.6624891961970614,0.14491187732840066,4.571669406336667,0.4572025052192067,0.4572025052192067,0.5834361428907001,0.5664414499785358,0.6679537742550374
current_refined_fuzzy_v0,all,2,test,2,11569,4240,0.3664966721410666,0.14491187732840066,2.529100298041881,0.25290784372203995,0.7101103489412467,0.3462659339617559,0.21373907068734743,0.5664414499785358
current_refined_fuzzy_v0,all,2,test,3,11569,1810,0.15645258881493646,0.14491187732840066,1.0796395140225954,0.10796301819266328,0.8180733671339099,0.15433464659610424,0.10785242492484402,0.21373907068734743
current_refined_fuzzy_v0,all,2,test,4,11569,1111,0.09603250064828421,0.14491187732840066,0.6626958563972949,0.06626901282433642,0.8843423799582464,0.087059655096178,0.07326335102943167,0.10783434128619215
current_refined_fuzzy_v0,all,2,test,5,11569,740,0.06396404183594087,0.14491187732840066,0.4413995803186302,0.04413957649865792,0.9284819564569042,0.0632859536446296,0.048892825835537126,0.07326335102943167
current_refined_fuzzy_v0,all,2,test,6,11569,455,0.03932924193966635,0.14491187732840066,0.2714010933040226,0.027139874739039668,0.9556218311959439,0.03472563057491192,0.024143611140489005,0.048892825835537126
current_refined_fuzzy_v0,all,2,test,7,11569,242,0.020917970438240126,0.14491187732840066,0.1443495924825791,0.01443483447658813,0.970056665672532,0.020056184221546442,0.019409815939903787,0.024143611140489005
current_refined_fuzzy_v0,all,2,test,8,11569,181,0.015645258881493648,0.14491187732840066,0.10796395140225956,0.010796301819266328,0.9808529674917984,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,all,2,test,9,11569,155,0.013397873627798427,0.14491187732840066,0.09245531749917255,0.009245451834178348,0.9900984193259768,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,all,2,test,10,11569,166,0.014348690465900251,0.14491187732840066,0.09901666261201705,0.009901580674023263,1.0,0.01853292465074176,0.014938630923336802,0.019409815939903787
current_refined_fuzzy_v0,aquamatch_chla,2,test,1,6512,4007,0.6153255528255528,0.1196308183730823,5.143537101841017,0.5143774069319641,0.5143774069319641,0.5664414499785357,0.5664414499785358,0.5664414499785358
current_refined_fuzzy_v0,aquamatch_chla,2,test,2,6512,1690,0.2595208845208845,0.1196308183730823,2.1693480664116094,0.21694480102695765,0.7313222079589217,0.28763075163549656,0.1729285303292626,0.5664414499785358
current_refined_fuzzy_v0,aquamatch_chla,2,test,3,6512,794,0.12192874692874693,0.1196308183730823,1.0192084998407207,0.10192554557124518,0.8332477535301669,0.12873684430303736,0.0877525822094654,0.1729285303292626
current_refined_fuzzy_v0,aquamatch_chla,2,test,4,6511,476,0.0731070496083551,0.1196308183730823,0.6111054877210859,0.06110397946084724,0.8943517329910141,0.07137075726668184,0.056523447942258484,0.0877525822094654
current_refined_fuzzy_v0,aquamatch_chla,2,test,5,6512,296,0.045454545454545456,0.1196308183730823,0.37995682109931145,0.037997432605905004,0.9323491655969192,0.04243274104920402,0.019409815939903787,0.056523447942258484
current_refined_fuzzy_v0,aquamatch_chla,2,test,6,6512,99,0.015202702702702704,0.1196308183730823,0.12708015300281025,0.012708600770218228,0.9450577663671373,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,aquamatch_chla,2,test,7,6511,122,0.01873752111810782,0.1196308183730823,0.1566278771049842,0.01566110397946085,0.9607188703465982,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,aquamatch_chla,2,test,8,6512,75,0.011517199017199017,0.1196308183730823,0.09627284318394716,0.009627727856225931,0.9703465982028241,0.019409815939903787,0.019409815939903787,0.019409815939903787
