metric_scope,score_name,source_id,horizon_months,split,rows,pearson_score_risk_chla,spearman_score_risk_chla,rmse_score_risk_chla,mae_score_risk_chla,pr_auc,roc_auc,brier,recall,macro_f1
target,irc1,aquamatch_chla,2.0,validation,106736,,,0.28770519556788027,0.23253526448712059,0.4543019477468916,0.8583631386511444,0.1432319619863009,0.7817364521768084,0.674082805651836
target,irc1,aquamatch_chla,3.0,test,55831,,,0.29559281565753054,0.23808012284795563,0.4585678539976002,0.8532256046270064,0.14298621921315988,0.7724622514576169,0.6791706351290756
target,irc1,aquamatch_chla,3.0,train,821392,,,0.3202374405708456,0.25689808109051615,0.43641397228653056,0.8255182894075992,0.16315787424026632,0.75807714108343,0.6610114233057026
target,irc1,aquamatch_chla,3.0,validation,94463,,,0.30349754335133267,0.24425779381417084,0.41092227866644404,0.8365448734096005,0.14634494083700533,0.7441148325358852,0.6616005593467785
target,irc1,lakebed_us_cse,1.0,test,163,,,0.29025273090648174,0.22947022786562402,0.3403730408559703,0.8009348807221148,0.15914083722675026,0.5909090909090909,0.6527568922305764
target,irc1,lakebed_us_cse,1.0,train,2760,,,0.24931175676180548,0.1753118936379389,0.440825289722774,0.8863129382817844,0.10337117315758365,0.707395498392283,0.7166155312169022
target,irc1,lakebed_us_cse,1.0,validation,445,,,0.30531179487702853,0.23643830326194273,0.24494157977595282,0.7581818181818183,0.1650384949456701,0.5636363636363636,0.6073529411764705
target,irc1,lakebed_us_cse,2.0,test,151,,,0.3083493164775404,0.24639361213186053,0.30983233539750016,0.7783094098883573,0.1603778540355715,0.5789473684210527,0.6452981738273851
target,irc1,lakebed_us_cse,2.0,train,2776,,,0.28388601583155276,0.1970659879566516,0.3069984633321108,0.8250406353039521,0.11577722559159583,0.5409836065573771,0.6465657941562665
target,irc1,lakebed_us_cse,2.0,validation,430,,,0.34308146188515265,0.27080000365444895,0.19939728999938344,0.6884121212121213,0.1830735275041229,0.45454545454545453,0.5652850143868108
target,irc1,lakebed_us_cse,3.0,test,143,,,0.31607404330235744,0.253222513340103,0.3124622219165325,0.7969187675070029,0.14849855908353635,0.5294117647058824,0.630819905635182
target,irc1,lakebed_us_cse,3.0,train,2768,,,0.30427339411506454,0.20950845233664306,0.23589023064482106,0.7817995160431824,0.11790646610747076,0.40069686411149824,0.604197615208014
target,irc1,lakebed_us_cse,3.0,validation,421,,,0.35315680327371335,0.2721993771056899,0.16584072857965515,0.6685744568097508,0.1739199036518234,0.27450980392156865,0.5156417259421551
target,irc1,wqp,1.0,test,55151,,,0.2641038327562583,0.20271536650858765,0.694433731981398,0.9078439448959968,0.1670610241375523,0.9073099742527706,0.6895250841915554
target,irc1,wqp,1.0,train,432276,,,0.27371848062326354,0.2133831816573409,0.6961094532011642,0.8992389856878868,0.17128718201412663,0.9088142085223775,0.7090895775379604
target,irc1,wqp,1.0,validation,52222,,,0.28106661186955745,0.21964984810357643,0.6383443187282474,0.8923110090752953,0.17632567199140362,0.8979566563467493,0.6747574968766615
target,irc1,wqp,2.0,test,50423,,,0.29004979049379853,0.22160176306451274,0.6336873480221086,0.8653822072046334,0.17268930987967043,0.8366458240285842,0.6842021587022505
target,irc1,wqp,2.0,train,399759,,,0.3016351180000102,0.23488869365971868,0.6343897164886007,0.8617485134353782,0.17760978756681037,0.8486138707540921,0.6983874127646044
target,irc1,wqp,2.0,validation,47050,,,0.305645827643932,0.2381477723012692,0.5689339449463566,0.8492248238593795,0.18032067265501434,0.8240922794599554,0.6619202610361427
target,irc1,wqp,3.0,test,43696,,,0.3094856678352124,0.2383589435346621,0.59837885342921,0.8397473867830086,0.1788333721278691,0.7962939619311736,0.6740869919096155
target,irc1,wqp,3.0,train,365093,,,0.32223911656286724,0.25199235513417995,0.5909203863957021,0.8319364962829565,0.18641210020317034,0.8080477621060136,0.6830489317353488
target,irc1,wqp,3.0,validation,41154,,,0.3222946227248348,0.2517971864927567,0.5355918324534781,0.8219873819583035,0.18274378094601804,0.7793775450843514,0.6568037131162332
target,irc1_no_chla,all,1.0,test,121540,,,0.4164806240775126,0.3723804682638642,0.27680259989481,0.6686743332600468,0.25764478261816987,0.9231044990141603,0.32516396291321403
target,irc1_no_chla,all,1.0,train,1336605,,,0.41406126226818035,0.3739303897921277,0.2544012755841244,0.6272266051528878,0.2544653647376683,0.9392305402097324,0.2725277396675614
target,irc1_no_chla,all,1.0,validation,163110,,,0.4207468771784489,0.3803906208479627,0.2232813066517143,0.6179202140311426,0.2597201595745533,0.9377743099580611,0.25039146502402654
target,irc1_no_chla,all,2.0,test,115691,,,0.41901787279044195,0.3750319304102786,0.25980316306795714,0.64278735064036,0.25588386290861864,0.8864300626304802,0.32095218925997093
target,irc1_no_chla,all,2.0,train,1294854,,,0.41726117034750254,0.3772810104859464,0.24021158815160193,0.6108139001434953,0.25382534846525645,0.9194881326157743,0.26537567824367897
target,irc1_no_chla,all,2.0,validation,154216,,,0.42260739583439455,0.3825767642662957,0.2049845034415058,0.6028898096907751,0.2577882215412408,0.9190739706554297,0.2475469292017893
target,irc1_no_chla,all,3.0,test,99670,,,0.4233989459083425,0.37941368542456244,0.24309572380760638,0.6204281738232406,0.25761117423627344,0.8585968986952661,0.31770728391728487
target,irc1_no_chla,all,3.0,train,1189253,,,0.4204635417635747,0.3801793838342946,0.22365763344154782,0.5941946867717977,0.2550113627846885,0.900268435180799,0.2607241193214662
target,irc1_no_chla,all,3.0,validation,136038,,,0.42485353421047506,0.38493074333288124,0.19672059548128135,0.5883061317533371,0.25697263838447126,0.8949761178569373,0.2465359978702381
target,irc1_no_chla,aquamatch_chla,1.0,test,66226,,,0.4288378808342647,0.40077822784264366,0.11750671941533537,0.5,0.25,1.0,0.10515079450870177
target,irc1_no_chla,aquamatch_chla,1.0,train,901569,,,0.41916902591840915,0.3880943073254699,0.13706105689082035,0.5,0.25,1.0,0.12053975119471604
target,irc1_no_chla,aquamatch_chla,1.0,validation,110443,,,0.4249923078310833,0.39589370687293163,0.11205780357288375,0.5,0.25,1.0,0.10076616810102672
target,irc1_no_chla,aquamatch_chla,2.0,test,65117,,,0.4287362280061435,0.40046119688589116,0.1196308183730823,0.5,0.25,1.0,0.1068484507660444
target,irc1_no_chla,aquamatch_chla,2.0,train,892319,,,0.4200047905783938,0.38914186602484074,0.13583931307077401,0.5,0.25,1.0,0.11959377660870758
target,irc1_no_chla,aquamatch_chla,2.0,validation,106736,,,0.4265128111349457,0.3977908418094705,0.1125487183330835,0.5,0.25,1.0,0.10116295716174452
target,irc1_no_chla,aquamatch_chla,3.0,test,55831,,,0.4285282499288182,0.40030414264943653,0.11980799197578407,0.5,0.25,1.0,0.10698976327575176
target,irc1_no_chla,aquamatch_chla,3.0,train,821392,,,0.4197312536576462,0.3888279888293569,0.1353154157819896,0.5,0.25,1.0,0.11918750851170835
target,irc1_no_chla,aquamatch_chla,3.0,validation,94463,,,0.4268881223558486,0.39843927328793755,0.11062532420100991,0.5,0.25,1.0,0.09960634049164546
target,irc1_no_chla,lakebed_us_cse,1.0,test,163,,,0.4521920050922799,0.35457231860726823,0.13124166402383933,0.4152159896840748,0.25500101608442954,0.13636363636363635,0.3933002481389578
target,irc1_no_chla,lakebed_us_cse,1.0,train,2760,,,0.3274084421553021,0.21808202520254286,0.25751678171451325,0.7697445902848987,0.11533527153290829,0.2861736334405145,0.598789472591232
target,irc1_no_chla,lakebed_us_cse,1.0,validation,445,,,0.41068442006499944,0.30850796092372434,0.1349695691599255,0.5406993006993007,0.21519855060937065,0.2545454545454545,0.4903657262277952
target,irc1_no_chla,lakebed_us_cse,2.0,test,151,,,0.44781537998261556,0.35478458201543894,0.1214930167948555,0.3975279106858054,0.2504494388170431,0.10526315789473684,0.3863300492610838
target,irc1_no_chla,lakebed_us_cse,2.0,train,2776,,,0.3410713638382618,0.22598520127095442,0.21556350517337486,0.7305690269420358,0.12367777692948415,0.18688524590163935,0.5448559053895614
target,irc1_no_chla,lakebed_us_cse,2.0,validation,430,,,0.4286630879057008,0.32691840002675193,0.1238318076809507,0.5067636363636363,0.22929464236941197,0.2,0.4650616764788338
target,irc1_no_chla,lakebed_us_cse,3.0,test,143,,,0.4400030754425258,0.3481081569364474,0.10872620834104063,0.42553688141923435,0.23282109554768496,0.058823529411764705,0.38220046082949305
target,irc1_no_chla,lakebed_us_cse,3.0,train,2768,,,0.35445606305354904,0.2340295009324616,0.18727546663993366,0.6998098440131059,0.12198904949283165,0.11498257839721254,0.5121230143243839
target,irc1_no_chla,lakebed_us_cse,3.0,validation,421,,,0.43196214941687333,0.3296872269278182,0.11690019307420507,0.5088235294117647,0.21612837402787133,0.0784313725490196,0.43245472837022136
target,irc1_no_chla,wqp,1.0,test,55151,,,0.40102488556188254,0.33833272121539315,0.3852586500491102,0.7383500795419051,0.2668325454441552,0.8580544050151125,0.5395278857150747
target,irc1_no_chla,wqp,1.0,train,432276,,,0.4037085838659333,0.34538472109816715,0.3861100308481126,0.7173981012289237,0.2646667950239206,0.8559426369667814,0.5330828162686706
target,irc1_no_chla,wqp,1.0,validation,52222,,,0.411710711856394,0.34821606709304426,0.366032172254588,0.7198055371019465,0.2806564641948647,0.8470588235294118,0.5012210875255431
target,irc1_no_chla,wqp,2.0,test,50423,,,0.4060314615446983,0.34225283762554076,0.3567997918627289,0.6987332789571755,0.26349864384308,0.7893032603841,0.544329097472394
target,irc1_no_chla,wqp,2.0,train,399759,,,0.41155869169591364,0.35185651826130665,0.3625650618099413,0.688938243863688,0.26326783950548927,0.8067106632604788,0.531469105535034
target,irc1_no_chla,wqp,2.0,validation,47050,,,0.4135540549862684,0.34857130870784103,0.32715265266711224,0.6901501309047093,0.2757167200209381,0.7968278935640319,0.5084555023554171
target,irc1_no_chla,wqp,3.0,test,43696,,,0.41669701674845167,0.3528241022419337,0.3276281384017948,0.6626467395359154,0.26741720797020446,0.7410815580486575,0.5327377530307809
target,irc1_no_chla,wqp,3.0,train,365093,,,0.42256552885188187,0.36182966998540705,0.32741347834976986,0.6544309697885969,0.26729453190497476,0.7620296349101278,0.5185558942838827
target,irc1_no_chla,wqp,3.0,validation,41154,,,0.4200720163501445,0.35448901847653824,0.31059119700134197,0.658467102948173,0.2733951434874124,0.7414194299011053,0.5085100127573217
