model_version,group_type,group_value,source_id,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,tn,fp,fn,tp,precision,recall,specificity,false_positive_rate,false_negative_rate,macro_f1,pr_auc,roc_auc,brier
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,2,validation,23261,0.267599935899832,2952,0.126907699582993,19001,1308,1122,1830,0.5831739961759083,0.6199186991869918,0.9355950563789452,0.0644049436210547,0.3800813008130081,0.7704421557523573,0.621530074367323,0.8845187216582391,0.07308584305473703
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,2,validation,107129,0.267599935899832,12050,0.11248121423704133,88362,6717,5034,7016,0.5108861865579262,0.582240663900415,0.929353484996687,0.07064651500331304,0.41775933609958504,0.7409433908420425,0.45211550080316015,0.8584927196815891,0.0726317667269925
current_refined_fuzzy_v0,overall,all,all,3,test,99670,0.3133646594283974,14639,0.1468746864653356,78304,6727,5457,9182,0.5771575837576215,0.6272286358357811,0.9208876762592466,0.07911232374075337,0.37277136416421885,0.7644843845611002,0.6114661652439906,0.8671552449704739,0.08414713863921869
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,3,test,55831,0.3133646594283974,6689,0.11980799197578407,45682,3460,2730,3959,0.5336298692546165,0.591867244730154,0.9295917952057303,0.07040820479426967,0.408132755269846,0.7488949058879542,0.5381133610873559,0.8601167008068046,0.07516536571948297
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,3,test,143,0.3133646594283974,17,0.11888111888111888,118,8,8,9,0.5294117647058824,0.5294117647058824,0.9365079365079365,0.06349206349206349,0.47058823529411764,0.7329598506069095,0.467098996239956,0.8300653594771241,0.08072533596913367
current_refined_fuzzy_v0,source,wqp,wqp,3,test,43696,0.3133646594283974,7933,0.1815497986085683,32504,3259,2719,5214,0.6153664581612179,0.6572545064918695,0.9088722981852753,0.09112770181472471,0.3427454935081306,0.775703662796062,0.66480089500464,0.8665976051373602,0.09563447573331398
current_refined_fuzzy_v0,full_evidence_band,high,all,3,test,19176,0.3133646594283974,4414,0.23018356278681684,12864,1898,1431,2983,0.6111452571194428,0.6758042591753511,0.8714266359571874,0.12857336404281264,0.32419574082464886,0.7636412695026931,0.662616368253823,0.8359066175923965,0.12000603603318273
current_refined_fuzzy_v0,full_evidence_band,low,all,3,test,58207,0.3133646594283974,6927,0.11900630508358101,47753,3527,2895,4032,0.5334038894033603,0.5820701602425292,0.9312207488299532,0.0687792511700468,0.4179298397574708,0.746835076063741,0.534237509812716,0.8585146917136971,0.07514474478917946
current_refined_fuzzy_v0,full_evidence_band,medium,all,3,test,22214,0.3133646594283974,3295,0.14832988205636086,17626,1293,1131,2164,0.6259762800115707,0.656752655538695,0.9316560071885406,0.06834399281145938,0.343247344461305,0.7883286102659292,0.6818394502692591,0.8921032729499879,0.0768442081910553
current_refined_fuzzy_v0,full_evidence_band,missing,all,3,test,73,0.3133646594283974,3,0.0410958904109589,61,9,0,3,0.25,1.0,0.8714285714285714,0.12857142857142856,0.0,0.665648854961832,0.21666666666666667,0.9190476190476191,0.06496110272250534
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,3,test,19918,0.3133646594283974,4329,0.21734109850386585,13723,1866,1486,2843,0.6037375238904226,0.6567336567336567,0.8803002116877285,0.11969978831227147,0.34326634326634325,0.7601416254027755,0.6480352961576522,0.8299695971451697,0.11611953151910762
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,3,test,3868,0.3133646594283974,495,0.1279731127197518,3142,231,253,242,0.5116279069767442,0.4888888888888889,0.9315149718351616,0.06848502816483842,0.5111111111111111,0.7142434988179669,0.4930854560570853,0.8323954037858573,0.08707776882398938
