model_id,base_seed,status,selected_profile,best_epoch,best_probabilistic_validation_loss,ledger_intent_rows,fit_intent_rows,shared_fit_rows,target,selection_rows,selection_rmse,selection_mae,selection_nll,selection_interval_90_coverage,selection_interval_90_mean_width,model_sha256,model_md5,checkpoint_sha256,checkpoint_md5,runtime_seconds,environment
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,delta_yT,1016,0.1812321484506323,0.1203237781374473,-1.2116850004421444,0.8740157480314961,0.5385648472102609,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,sigma_F,1016,0.0613020499163049,0.0411133653535617,-2.283542542945681,0.8917322834645669,0.1831577180877445,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,sigma_N,1016,0.1178603144235954,0.0549869593672865,-1.4841825229915109,0.9212598425196852,0.2579893878125769,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,sigma_T,1016,0.093656208901055,0.049913338788851,-1.8540489617295155,0.9537401574803148,0.2689624546081062,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,yF,1016,0.1312597517889903,0.0972613725136584,-1.5378836684339627,0.9133858267716536,0.4689758180633304,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,yN,1016,0.1225858217068212,0.0875059901260015,-1.6008253322811576,0.90748031496063,0.4063442410446527,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,yT,1016,0.1793962761271679,0.1192216197336752,-1.221387007105069,0.8730314960629921,0.5397309731310747,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260613,completed,v2_primary,28,-1.8482420819950856,9732,9413,8925,delta_yF,1016,0.1359457815318024,0.1018280081861601,-1.484831442044476,0.937007874015748,0.5191982900063823,2ad61863eb12602c94945bba98a06b8e5f458422616599ef00429caed8340fba,6ffba30620674644fe4b6e5da7cdf97c,73bb518eca6a48acd0057e57ed94f3446f4cb1fc9a811f5658f0efa6a57714dd,646dc559937ce6f46347cefcc58d9c5e,19.495983556999818,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260613,completed,v2_primary,28,-1.8482420819950856,9732,9413,8925,delta_yN,1016,0.1258979258081337,0.0912429216339832,-1.577154384823296,0.9104330708661418,0.4184247114526944,2ad61863eb12602c94945bba98a06b8e5f458422616599ef00429caed8340fba,6ffba30620674644fe4b6e5da7cdf97c,73bb518eca6a48acd0057e57ed94f3446f4cb1fc9a811f5658f0efa6a57714dd,646dc559937ce6f46347cefcc58d9c5e,19.495983556999818,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260613,completed,v2_primary,28,-1.8482420819950856,9732,9413,8925,delta_yT,1016,0.1840435263396659,0.1246097219271922,-1.218157490407388,0.8838582677165354,0.5924547450748954,2ad61863eb12602c94945bba98a06b8e5f458422616599ef00429caed8340fba,6ffba30620674644fe4b6e5da7cdf97c,73bb518eca6a48acd0057e57ed94f3446f4cb1fc9a811f5658f0efa6a57714dd,646dc559937ce6f46347cefcc58d9c5e,19.495983556999818,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
