evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,M0,1729,20260612,seed,2,observation_weighted,mcar,brier,lower,0.9996612412624564,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,observation_weighted,mcar,brier,lower,0.9987562556326848,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,observation_weighted,mcar,brier,lower,0.9974857295609036,estimated,,1
fresh_primary,M0,1729,1729,seed,2,observation_weighted,mcar,pr_auc,higher,1.0802454969155328,estimated,,1
fresh_primary,M0,1729,314159,seed,2,observation_weighted,mcar,pr_auc,higher,0.9539119341507915,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,observation_weighted,mcar,pr_auc,higher,1.0003949162956989,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,observation_weighted,mcar,pr_auc,higher,0.9790615216984321,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,observation_weighted,mcar,pr_auc,higher,0.9777205294293121,estimated,,1
fresh_primary,M0,1729,1729,seed,2,observation_weighted,temporal_block,brier,lower,0.998457846489536,estimated,,1
fresh_primary,M0,1729,314159,seed,2,observation_weighted,temporal_block,brier,lower,0.9981546275853829,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,observation_weighted,temporal_block,brier,lower,0.9990909513406567,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,observation_weighted,temporal_block,brier,lower,0.9984352497488969,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,observation_weighted,temporal_block,brier,lower,0.9970417351524294,estimated,,1
fresh_primary,M0,1729,1729,seed,2,observation_weighted,temporal_block,pr_auc,higher,1.1469973365038801,estimated,,1
fresh_primary,M0,1729,314159,seed,2,observation_weighted,temporal_block,pr_auc,higher,1.0510305764795087,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,observation_weighted,temporal_block,pr_auc,higher,0.9566289334193193,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,observation_weighted,temporal_block,pr_auc,higher,1.0110852700014814,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,observation_weighted,temporal_block,pr_auc,higher,0.9742739195813147,estimated,,1
