evaluation_cohort,scenario_id,degradation_seed,aggregation_level,horizon_months,estimand,comparison_id,challenger,reference,attempted_pairs,shared_success_rows,shared_success_locations,mask_sha256,seed_pseudoreplication,metric,m0_estimate,p1_estimate,delta_m0_minus_p1,status,delta_seed_sd,registered_seed_slots,crossover_status
fresh_primary,ablate_clarity,20260613,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.28673844185608327,0.15884996112459204,0.12788848073149123,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.5486649427996276,0.2686692360055929,0.27999570679403474,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1984870413299435,0.26848577109385263,-0.06999872976390914,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2948721090797787,0.12724969291520283,0.16762241616457585,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46937416777629826,0.4539800995024876,0.01539406827381068,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16672315100754792,0.34768547691107754,-0.18096232590352962,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2928363916000071,0.1292319756156181,0.16360441598438896,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4926554176140852,0.3917814657502272,0.100873951863858,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1783587583178211,0.34774867508278046,-0.16938991676495935,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2937843652607873,0.12629574837770513,0.16748861688308214,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46984572230014027,0.5213567839195979,-0.051511061619457676,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.15114552904630807,0.3640704862673699,-0.2129249572210618,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29111828147082114,0.1401149517172737,0.15100332975354744,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.47895888132266634,0.5083185853778945,-0.029359704055228197,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1636693817196055,0.3078363824904208,-0.1441670007708153,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29180092659781715,0.12932870966888482,0.16247221692893232,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4855305466237942,0.45866364665911663,0.02686689996467756,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16627790994210456,0.335816562753045,-0.16953865281094044,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.28673844185608327,0.15828068573949663,0.12845775611658664,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.5486649427996276,0.3632246022442238,0.18544034055540382,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1984870413299435,0.27839664632611005,-0.07990960499616656,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2948721090797787,0.13113019479735896,0.16374191428241971,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46937416777629826,0.3580729166666667,0.11130125110963157,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16672315100754792,0.3062613468358781,-0.13953819582833016,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2928363916000071,0.13293530263168127,0.1599010889683258,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4926554176140852,0.3113101825646147,0.18134523504947053,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1783587583178211,0.3123714243821825,-0.1340126660643614,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2937843652607873,0.1369052090189984,0.1568791562417889,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46984572230014027,0.5068493150684932,-0.03700359276835291,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.15114552904630807,0.27713651073658896,-0.1259909816902809,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260614,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29111828147082114,0.15654796879524563,0.1345703126755755,estimated,,1,not_assessed_on_single_seed_row
