profile,epoch,training_loss,probabilistic_validation_loss,best_probabilistic_validation_loss,best_epoch,epochs_without_improvement,batch_order_sha256
legacy_diagnostic,10,-1.1711743211667838,-1.2230790853500366,-1.2230790853500366,10,0,d24b7d20d1cf707f6d221e3235943467896d6beea90ce465a3970455a6eea81d
legacy_diagnostic,11,-1.2196975531175926,-1.252223014831543,-1.252223014831543,11,0,eddd0fe07de8800473d2240055ef858f13b6db54da4c8c37442c0f9a6d4fe1ba
legacy_diagnostic,12,-1.2441765071619535,-1.2678896188735962,-1.2678896188735962,12,0,bc2faef16583f725db1ebda1c6eb03cbc5237f987b565df8a2176687f750e09d
legacy_diagnostic,13,-1.2664463645755635,-1.2891464233398438,-1.2891464233398438,13,0,a176c74487f0382e802a20dd06d5b858dc9afb39972ce391778db966d2be1694
legacy_diagnostic,14,-1.2907568250689407,-1.304103970527649,-1.304103970527649,14,0,01a9d0ba86d5bf5545d1d8d828acece91f0914da54ae7bae940ccd2ad6294654
legacy_diagnostic,15,-1.3147190091190635,-1.3243563175201416,-1.3243563175201416,15,0,3bccf8b8ff1f669d5cc16accb225f7d92b65a728b594227f12961b344def4146
legacy_diagnostic,16,-1.3344678249653348,-1.332223892211914,-1.332223892211914,16,0,499e6a67a6e7a4875336f31dc9f9c0cce4464c32f783d018c5f2a05dead9ff22
legacy_diagnostic,17,-1.3458564514787659,-1.3316832780838013,-1.332223892211914,16,1,361fc677a7f99354791ede946a71976b89900f84a3339937f2c7b558d17ac1fe
legacy_diagnostic,18,-1.3572915377666923,-1.3420804738998413,-1.3420804738998413,18,0,411a30d646991912ebebc52ca9d5226d5086ce5c8efe37d7710b494821d54008
legacy_diagnostic,19,-1.3696205474917664,-1.3559256792068481,-1.3559256792068481,19,0,de02341cc691121513eb64e4511803617f2c35bc2bce2445d9d91aa32908f638
legacy_diagnostic,20,-1.3806392811450725,-1.368393063545227,-1.368393063545227,20,0,fedcda72f80b885d7d008d30af36829d206ecc66af5a29ff5f844b18e31ff85e
