model_id,base_seed,predictor,coefficient_log_odds,odds_ratio,standardization,rows,eligible_rows,noneligible_rows,iterations,converged,ridge_penalty,log_loss,brier,roc_auc_descriptive
P0,314159,origin_sigma_F,-0.0638898203082472,0.9381083543261356,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_sigma_N,0.07658683250441299,1.0795959302856502,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_sigma_T,0.02433068486254027,1.0246290912041107,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_yF,-0.005351926881005063,0.9946623691644976,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_yN,0.01987294599634515,1.020071727596035,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_yT,-0.11483664429900955,0.8915117655418467,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,origin_year,0.10397171270954758,1.109569067769159,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,314159,precursor_coverage_fraction,-0.16809120025662433,0.8452767417135,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,historical_bloom_presence,-0.08820412276011383,0.9155739681623593,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,intercept,2.959935196817649,19.296721226039665,none,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,log1p_series_length_months,0.105389216235259,1.1111430010992203,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,model_selection_role,-0.009941112412070944,0.9901081371124625,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,month_cos,-0.15802437190460267,0.8538289722766376,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,month_sin,0.08693111947271215,1.0908215407675972,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_delta_yF,-0.037994965611987314,0.9627177875738888,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_delta_yN,-0.08330768156770732,0.9200680156957161,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_delta_yT,-0.051440751216316125,0.9498599263403353,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_sigma_F,-0.0638898203082472,0.9381083543261356,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_sigma_N,0.07658683250441299,1.0795959302856502,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_sigma_T,0.02433068486254027,1.0246290912041107,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_yF,-0.005351926881005063,0.9946623691644976,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_yN,0.01987294599634515,1.020071727596035,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_yT,-0.11483664429900955,0.8915117655418467,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,origin_year,0.10397171270954758,1.109569067769159,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260612,precursor_coverage_fraction,-0.16809120025662433,0.8452767417135,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,historical_bloom_presence,-0.08820412276011383,0.9155739681623593,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,intercept,2.959935196817649,19.296721226039665,none,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,log1p_series_length_months,0.105389216235259,1.1111430010992203,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,model_selection_role,-0.009941112412070944,0.9901081371124625,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,month_cos,-0.15802437190460267,0.8538289722766376,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,month_sin,0.08693111947271215,1.0908215407675972,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_delta_yF,-0.037994965611987314,0.9627177875738888,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_delta_yN,-0.08330768156770732,0.9200680156957161,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_delta_yT,-0.051440751216316125,0.9498599263403353,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_sigma_F,-0.0638898203082472,0.9381083543261356,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_sigma_N,0.07658683250441299,1.0795959302856502,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_sigma_T,0.02433068486254027,1.0246290912041107,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_yF,-0.005351926881005063,0.9946623691644976,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_yN,0.01987294599634515,1.020071727596035,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_yT,-0.11483664429900955,0.8915117655418467,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,origin_year,0.10397171270954758,1.109569067769159,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260613,precursor_coverage_fraction,-0.16809120025662433,0.8452767417135,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,historical_bloom_presence,-0.08820412276011383,0.9155739681623593,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,intercept,2.959935196817649,19.296721226039665,none,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,log1p_series_length_months,0.105389216235259,1.1111430010992203,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,model_selection_role,-0.009941112412070944,0.9901081371124625,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,month_cos,-0.15802437190460267,0.8538289722766376,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,month_sin,0.08693111947271215,1.0908215407675972,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_delta_yF,-0.037994965611987314,0.9627177875738888,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_delta_yN,-0.08330768156770732,0.9200680156957161,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_delta_yT,-0.051440751216316125,0.9498599263403353,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_sigma_F,-0.0638898203082472,0.9381083543261356,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_sigma_N,0.07658683250441299,1.0795959302856502,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_sigma_T,0.02433068486254027,1.0246290912041107,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_yF,-0.005351926881005063,0.9946623691644976,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_yN,0.01987294599634515,1.020071727596035,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_yT,-0.11483664429900955,0.8915117655418467,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,origin_year,0.10397171270954758,1.109569067769159,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,20260614,precursor_coverage_fraction,-0.16809120025662433,0.8452767417135,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P1,1729,historical_bloom_presence,-0.09517261347738012,0.9092159779905689,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,intercept,2.9728416309929377,19.54738721078919,none,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,log1p_series_length_months,0.11111497722963339,1.117523389211386,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,model_selection_role,-0.013446891209144642,0.9866431143491311,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,month_cos,-0.15706984805130356,0.8546443614896307,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,month_sin,0.08249190776872291,1.0859898853221823,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_delta_yF,-0.008068839581311951,0.9919636261259053,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_delta_yN,-0.05304869945168836,0.9483338280202862,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_delta_yT,-0.03820947295445703,0.9625112996871037,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_sigma_F,-0.17299202467154454,0.8411443232201286,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_sigma_N,0.12003892926946456,1.1275407450624964,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_sigma_T,0.23910427689559674,1.2701109729080104,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_yF,0.049435655387853834,1.050677984572346,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_yN,0.005048469655853431,1.0050612346509764,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_yT,-0.39300261580448004,0.6750269818452206,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,origin_year,0.05722140611655914,1.0588902292171753,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,1729,precursor_coverage_fraction,-0.18891636597762837,0.8278557407050725,one_population_sd,9413,8925,488,7,True,0.001,0.20044524745017644,0.04880693369842389,0.6008348257335722
P1,314159,historical_bloom_presence,-0.09530597886099036,0.9090947281383259,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,intercept,2.971488215820902,19.520949375084015,none,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,log1p_series_length_months,0.10946126278535784,1.1156768518843776,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,model_selection_role,-0.014067624457446635,0.986030862206136,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,month_cos,-0.15869927250070556,0.8532529170061665,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,month_sin,0.08054684700497874,1.0838796219669522,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_delta_yF,-0.009617686958371653,0.9904284150761504,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_delta_yN,-0.05176655226021943,0.9495505113913654,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_delta_yT,-0.03797505593024209,0.9627369551694597,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_sigma_F,-0.15787889749040285,0.8539531915813525,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_sigma_N,0.11902992801528522,1.1264036288089263,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_sigma_T,0.24345220717659818,1.2756453496908344,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_yF,0.04874745062013079,1.049955151731055,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_yN,0.006646579096006509,1.0066687166219408,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_yT,-0.39766076091251906,0.6718899203282339,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,origin_year,0.06812423183810512,1.0704982901886007,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,314159,precursor_coverage_fraction,-0.18860244455624597,0.8281156631513715,one_population_sd,9413,8925,488,7,True,0.001,0.20051748017718807,0.048818862232903194,0.5998404279744685
P1,20260612,historical_bloom_presence,-0.09676475505469871,0.907769529210421,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,intercept,2.972920997814709,19.54893868635307,none,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,log1p_series_length_months,0.11127507171314381,1.1177023128631554,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,model_selection_role,-0.01363757461174581,0.9864549958190447,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,month_cos,-0.15692645017137263,0.8547669244665888,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,month_sin,0.08280771682661835,1.0863329049262478,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_delta_yF,-0.007313995048128113,0.9927126871229356,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_delta_yN,-0.05229067503690725,0.9490529607409337,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_delta_yT,-0.03813970657695404,0.9625784529562815,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_sigma_F,-0.175611938019341,0.8389434822454948,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_sigma_N,0.12033036698699912,1.127869400852685,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_sigma_T,0.22577242508987147,1.2532904153679143,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_yF,0.044356056579928006,1.0453544939791648,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_yN,0.006391885316631854,1.006412357009911,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_yT,-0.37956052854817324,0.6841620128272261,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,origin_year,0.05371828867675968,1.0551873020695135,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260612,precursor_coverage_fraction,-0.18816113065874235,0.8284812027551817,one_population_sd,9413,8925,488,7,True,0.001,0.200441223946675,0.04880809228242749,0.6011838177894109
P1,20260613,historical_bloom_presence,-0.09814881675549071,0.9065139892447138,one_population_sd,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
P1,20260613,intercept,2.972132234791269,19.533525285929052,none,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
P1,20260613,log1p_series_length_months,0.11040443312252522,1.1167296215894753,one_population_sd,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
P1,20260613,model_selection_role,-0.014624828860030583,0.9854815945100316,one_population_sd,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
P1,20260613,month_cos,-0.15856040474422822,0.8533714145520126,one_population_sd,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
P1,20260613,month_sin,0.08155406770337359,1.084971877935835,one_population_sd,9413,8925,488,7,True,0.001,0.20048084255192652,0.04881348925791811,0.6006424209027873
