model_id,base_seed,time_role,origin_year_month,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,training,1987-02,8,5,3,0.375
P0,1729,training,1987-03,7,7,0,0.0
P0,1729,training,1987-04,9,9,0,0.0
P0,1729,training,1987-05,9,9,0,0.0
P0,1729,training,1987-06,9,9,0,0.0
P0,1729,training,1987-07,9,9,0,0.0
P0,1729,training,1987-08,9,9,0,0.0
P0,1729,training,1987-09,9,9,0,0.0
P0,1729,training,1987-10,9,7,2,0.2222222222222222
P0,1729,training,1987-11,7,7,0,0.0
P0,1729,training,1987-12,7,7,0,0.0
P0,1729,training,1988-01,16,14,2,0.125
P0,1729,training,1988-02,14,14,0,0.0
P0,1729,training,1988-03,24,23,1,0.041666666666666664
P0,1729,training,1988-04,24,24,0,0.0
P0,1729,training,1988-05,24,24,0,0.0
P0,1729,training,1988-06,24,20,4,0.16666666666666666
P0,1729,training,1988-07,20,20,0,0.0
P0,1729,training,1988-08,23,23,0,0.0
P0,1729,training,1988-09,24,23,1,0.041666666666666664
P0,1729,training,1988-10,24,23,1,0.041666666666666664
P0,1729,training,1988-11,28,27,1,0.03571428571428571
P0,1729,training,1988-12,27,27,0,0.0
P0,1729,training,1989-01,33,33,0,0.0
P0,1729,training,1989-02,33,32,1,0.030303030303030304
P0,1729,training,1989-03,32,31,1,0.03125
P0,1729,training,1989-04,32,32,0,0.0
P0,1729,training,1989-05,43,31,12,0.27906976744186046
P0,1729,training,1989-06,31,31,0,0.0
P0,1729,training,1989-07,32,32,0,0.0
P0,1729,training,1989-08,31,31,0,0.0
P0,1729,training,1989-09,31,31,0,0.0
P0,1729,training,1989-10,30,29,1,0.03333333333333333
P0,1729,training,1989-11,29,29,0,0.0
P0,1729,training,1989-12,30,30,0,0.0
P0,1729,training,1990-01,30,18,12,0.4
P0,1729,training,1990-02,18,14,4,0.2222222222222222
P0,1729,training,1990-03,14,14,0,0.0
P0,1729,training,1990-04,14,14,0,0.0
P0,1729,training,1990-05,14,14,0,0.0
P0,1729,training,1990-06,14,14,0,0.0
P0,1729,training,1990-07,14,14,0,0.0
P0,1729,training,1990-08,14,14,0,0.0
P0,1729,training,1990-09,14,14,0,0.0
P0,1729,training,1990-10,16,16,0,0.0
P0,1729,training,1990-11,19,19,0,0.0
P0,1729,training,1990-12,20,20,0,0.0
P0,1729,training,1991-01,18,17,1,0.05555555555555555
P0,1729,training,1991-02,29,20,9,0.3103448275862069
P0,1729,training,1991-03,25,18,7,0.28
P0,1729,training,1991-04,22,22,0,0.0
P0,1729,training,1991-05,22,21,1,0.045454545454545456
P0,1729,training,1991-06,21,21,0,0.0
P0,1729,training,1991-07,20,20,0,0.0
P0,1729,training,1991-08,19,19,0,0.0
P0,1729,training,1991-09,20,20,0,0.0
P0,1729,training,1991-10,21,12,9,0.42857142857142855
P0,1729,training,1991-11,12,12,0,0.0
P0,1729,training,1991-12,13,12,1,0.07692307692307693
P0,1729,training,1992-01,12,9,3,0.25
P0,1729,training,1992-02,9,9,0,0.0
P0,1729,training,1992-03,11,10,1,0.09090909090909091
P0,1729,training,1992-04,7,7,0,0.0
P0,1729,training,1992-05,7,7,0,0.0
P0,1729,training,1992-06,7,5,2,0.2857142857142857
P0,1729,training,1992-07,5,5,0,0.0
P0,1729,training,1992-08,5,5,0,0.0
P0,1729,training,1992-09,5,2,3,0.6
P0,1729,training,1992-10,2,2,0,0.0
P0,1729,training,1992-11,5,5,0,0.0
P0,1729,training,1992-12,6,6,0,0.0
P0,1729,training,1993-01,6,6,0,0.0
P0,1729,training,1993-02,7,7,0,0.0
P0,1729,training,1993-03,9,9,0,0.0
P0,1729,training,1993-04,9,9,0,0.0
P0,1729,training,1993-05,9,9,0,0.0
P0,1729,training,1993-06,9,9,0,0.0
P0,1729,training,1993-07,11,11,0,0.0
P0,1729,training,1993-08,11,7,4,0.36363636363636365
P0,1729,training,1993-09,10,10,0,0.0
P0,1729,training,1993-10,10,10,0,0.0
P0,1729,training,1993-11,10,10,0,0.0
P0,1729,training,1993-12,15,12,3,0.2
P0,1729,training,1994-01,12,12,0,0.0
P0,1729,training,1994-02,12,12,0,0.0
P0,1729,training,1994-03,13,9,4,0.3076923076923077
P0,1729,training,1994-04,9,9,0,0.0
P0,1729,training,1994-05,9,9,0,0.0
P0,1729,training,1994-06,9,9,0,0.0
P0,1729,training,1994-07,11,11,0,0.0
P0,1729,training,1994-08,11,11,0,0.0
P0,1729,training,1994-09,13,13,0,0.0
P0,1729,training,1994-10,13,4,9,0.6923076923076923
P0,1729,training,1994-11,2,2,0,0.0
P0,1729,training,1994-12,2,1,1,0.5
P0,1729,training,1995-01,1,1,0,0.0
P0,1729,training,1995-02,1,1,0,0.0
P0,1729,training,1995-03,1,1,0,0.0
P0,1729,training,1995-04,1,1,0,0.0
P0,1729,training,1995-05,5,5,0,0.0
P0,1729,training,1995-06,5,5,0,0.0
P0,1729,training,1995-07,5,5,0,0.0
P0,1729,training,1995-08,5,5,0,0.0
P0,1729,training,1995-09,7,7,0,0.0
P0,1729,training,1995-10,7,7,0,0.0
P0,1729,training,1995-11,9,5,4,0.4444444444444444
P0,1729,training,1995-12,5,5,0,0.0
P0,1729,training,1996-01,5,5,0,0.0
P0,1729,training,1996-02,2,2,0,0.0
P0,1729,training,1996-03,13,13,0,0.0
P0,1729,training,1996-04,13,13,0,0.0
P0,1729,training,1996-05,13,13,0,0.0
P0,1729,training,1996-06,13,13,0,0.0
P0,1729,training,1996-07,13,13,0,0.0
P0,1729,training,1996-08,13,13,0,0.0
P0,1729,training,1996-09,13,12,1,0.07692307692307693
P0,1729,training,1996-10,17,15,2,0.11764705882352941
P0,1729,training,1996-11,16,16,0,0.0
P0,1729,training,1996-12,18,18,0,0.0
P0,1729,training,1997-01,21,21,0,0.0
P0,1729,training,1997-02,21,21,0,0.0
P0,1729,training,1997-03,20,20,0,0.0
P0,1729,training,1997-04,9,9,0,0.0
P0,1729,training,1997-05,9,9,0,0.0
P0,1729,training,1997-06,9,9,0,0.0
P0,1729,training,1997-07,9,9,0,0.0
P0,1729,training,1997-08,9,9,0,0.0
P0,1729,training,1997-09,9,9,0,0.0
P0,1729,training,1997-10,12,12,0,0.0
P0,1729,training,1997-11,13,6,7,0.5384615384615384
P0,1729,training,1997-12,7,6,1,0.14285714285714285
P0,1729,training,1998-01,6,5,1,0.16666666666666666
P0,1729,training,1998-02,6,6,0,0.0
P0,1729,training,1998-03,6,2,4,0.6666666666666666
P0,1729,training,1998-04,2,2,0,0.0
P0,1729,training,1998-05,2,2,0,0.0
P0,1729,training,1998-06,2,2,0,0.0
P0,1729,training,1998-07,2,2,0,0.0
P0,1729,training,1998-08,2,2,0,0.0
P0,1729,training,1998-09,2,2,0,0.0
P0,1729,training,1998-10,2,2,0,0.0
P0,1729,training,1998-11,4,2,2,0.5
P0,1729,training,1998-12,22,21,1,0.045454545454545456
P0,1729,training,1999-01,21,21,0,0.0
P0,1729,training,1999-02,18,18,0,0.0
P0,1729,training,1999-03,19,17,2,0.10526315789473684
P0,1729,training,1999-04,17,17,0,0.0
P0,1729,training,1999-05,7,7,0,0.0
P0,1729,training,1999-06,7,7,0,0.0
P0,1729,training,1999-07,7,7,0,0.0
P0,1729,training,1999-08,7,2,5,0.7142857142857143
P0,1729,training,1999-09,2,2,0,0.0
P0,1729,training,1999-10,2,1,1,0.5
P0,1729,training,1999-11,2,2,0,0.0
P0,1729,training,1999-12,3,3,0,0.0
P0,1729,training,2000-01,3,3,0,0.0
P0,1729,training,2000-02,3,3,0,0.0
P0,1729,training,2000-03,3,3,0,0.0
P0,1729,training,2000-04,3,3,0,0.0
P0,1729,training,2000-05,5,5,0,0.0
P0,1729,training,2000-06,5,5,0,0.0
P0,1729,training,2000-07,5,5,0,0.0
P0,1729,training,2000-08,5,5,0,0.0
P0,1729,training,2000-09,5,5,0,0.0
P0,1729,training,2000-10,5,5,0,0.0
P0,1729,training,2000-11,5,5,0,0.0
P0,1729,training,2000-12,5,5,0,0.0
P0,1729,training,2001-01,9,9,0,0.0
P0,1729,training,2001-02,9,1,8,0.8888888888888888
P0,1729,training,2001-03,1,1,0,0.0
P0,1729,training,2001-04,1,1,0,0.0
P0,1729,training,2001-05,1,1,0,0.0
P0,1729,training,2001-06,1,1,0,0.0
P0,1729,training,2001-07,1,1,0,0.0
P0,1729,training,2001-08,1,1,0,0.0
P0,1729,training,2001-09,3,3,0,0.0
P0,1729,training,2001-10,3,3,0,0.0
P0,1729,training,2001-11,2,2,0,0.0
P0,1729,training,2001-12,2,2,0,0.0
P0,1729,training,2002-01,3,3,0,0.0
P0,1729,training,2002-02,3,3,0,0.0
P0,1729,training,2002-03,12,12,0,0.0
P0,1729,training,2002-04,12,12,0,0.0
P0,1729,training,2002-05,14,13,1,0.07142857142857142
P0,1729,training,2002-06,13,13,0,0.0
P0,1729,training,2002-07,20,19,1,0.05
P0,1729,training,2002-08,18,18,0,0.0
P0,1729,training,2002-09,26,26,0,0.0
P0,1729,training,2002-10,22,21,1,0.045454545454545456
P0,1729,training,2002-11,24,24,0,0.0
P0,1729,training,2002-12,26,23,3,0.11538461538461539
P0,1729,training,2003-01,24,24,0,0.0
P0,1729,training,2003-02,28,28,0,0.0
P0,1729,training,2003-03,28,26,2,0.07142857142857142
P0,1729,training,2003-04,26,26,0,0.0
P0,1729,training,2003-05,26,23,3,0.11538461538461539
P0,1729,training,2003-06,21,19,2,0.09523809523809523
P0,1729,training,2003-07,19,17,2,0.10526315789473684
P0,1729,training,2003-08,18,18,0,0.0
P0,1729,training,2003-09,19,19,0,0.0
P0,1729,training,2003-10,19,19,0,0.0
P0,1729,training,2003-11,30,29,1,0.03333333333333333
P0,1729,training,2003-12,30,28,2,0.06666666666666667
P0,1729,training,2004-01,27,27,0,0.0
P0,1729,training,2004-02,28,28,0,0.0
P0,1729,training,2004-03,28,28,0,0.0
P0,1729,training,2004-04,27,27,0,0.0
P0,1729,training,2004-05,28,24,4,0.14285714285714285
P0,1729,training,2004-06,22,22,0,0.0
P0,1729,training,2004-07,23,21,2,0.08695652173913043
P0,1729,training,2004-08,22,10,12,0.5454545454545454
P0,1729,training,2004-09,10,7,3,0.3
P0,1729,training,2004-10,8,8,0,0.0
P0,1729,training,2004-11,8,8,0,0.0
P0,1729,training,2004-12,11,10,1,0.09090909090909091
P0,1729,training,2005-01,11,11,0,0.0
P0,1729,training,2005-02,12,12,0,0.0
P0,1729,training,2005-03,12,10,2,0.16666666666666666
P0,1729,training,2005-04,11,11,0,0.0
P0,1729,training,2005-05,12,12,0,0.0
P0,1729,training,2005-06,17,17,0,0.0
P0,1729,training,2005-07,18,18,0,0.0
P0,1729,training,2005-08,23,23,0,0.0
P0,1729,training,2005-09,41,41,0,0.0
P0,1729,training,2005-10,38,37,1,0.02631578947368421
P0,1729,training,2005-11,40,40,0,0.0
P0,1729,training,2005-12,51,51,0,0.0
P0,1729,training,2006-01,50,50,0,0.0
P0,1729,training,2006-02,61,61,0,0.0
P0,1729,training,2006-03,60,59,1,0.016666666666666666
P0,1729,training,2006-04,57,56,1,0.017543859649122806
P0,1729,training,2006-05,51,48,3,0.058823529411764705
P0,1729,training,2006-06,49,48,1,0.02040816326530612
P0,1729,training,2006-07,50,50,0,0.0
P0,1729,training,2006-08,48,48,0,0.0
P0,1729,training,2006-09,55,31,24,0.43636363636363634
P0,1729,training,2006-10,32,31,1,0.03125
P0,1729,training,2006-11,31,30,1,0.03225806451612903
P0,1729,training,2006-12,36,36,0,0.0
P0,1729,training,2007-01,37,37,0,0.0
P0,1729,training,2007-02,44,44,0,0.0
P0,1729,training,2007-03,45,45,0,0.0
P0,1729,training,2007-04,44,44,0,0.0
P0,1729,training,2007-05,51,42,9,0.17647058823529413
P0,1729,training,2007-06,41,41,0,0.0
P0,1729,training,2007-07,41,41,0,0.0
P0,1729,training,2007-08,41,41,0,0.0
P0,1729,training,2007-09,51,43,8,0.1568627450980392
