record_type,hypothesis_id,hypothesis_family,analysis_role,model_id,surface_id,endpoint,horizon_months,model_seed,seed_slot,nominal_coverage,attempted_row_count,paired_row_count,mean_winkler_delta_after_minus_before,q_c,effect_estimate,ci_lower,ci_upper,p_value,holm_family_size,status,unavailable_reason
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260614,20260614,0.80000000000000004,4488,609,0.014612519918862466,1.4262724330575354,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260614,20260614,0.90000000000000002,4488,609,0.043300397549288071,1.9761550983250089,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260614,20260614,0.94999999999999996,4488,609,0.065401672711035821,2.205734787251036,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,1729,1729,0.80000000000000004,4488,635,0.013840054271174657,1.4340748912438253,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,1729,1729,0.90000000000000002,4488,635,0.037208789361496977,1.9139712633694974,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,1729,1729,0.94999999999999996,4488,635,0.026643591714674335,2.1509310501034933,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,314159,314159,0.80000000000000004,4488,635,0.0086806280897862124,1.3606355176632134,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,314159,314159,0.90000000000000002,4488,635,0.034049164014800813,1.9678433145215735,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,314159,314159,0.94999999999999996,4488,635,0.026920889377962585,2.2390094796019495,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260612,20260612,0.80000000000000004,4488,635,0.0047008270485504279,1.3235041660099791,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260612,20260612,0.90000000000000002,4488,635,0.02249484139519841,1.8707547075738937,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260612,20260612,0.94999999999999996,4488,635,0.021422869682762295,2.1392113462354181,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260613,20260613,0.80000000000000004,4488,635,0.0037959318802062041,1.3088663638484632,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260613,20260613,0.90000000000000002,4488,635,0.039561437114253944,1.8329541777024381,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260613,20260613,0.94999999999999996,4488,635,0.024032355231526258,2.0656755490674938,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260614,20260614,0.80000000000000004,4488,635,0.002330831088043348,1.3079176202319505,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260614,20260614,0.90000000000000002,4488,635,0.0066318531698910492,1.9758338262936992,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,1,20260614,20260614,0.94999999999999996,4488,635,-0.0068483470976771202,2.3224517112074756,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,1729,1729,0.80000000000000004,4488,625,0.0084425432221970631,1.3944722751608152,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,1729,1729,0.90000000000000002,4488,625,0.028143055109687454,1.9099777245388263,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,1729,1729,0.94999999999999996,4488,625,0.041838265466865913,2.1840899613188181,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,314159,314159,0.80000000000000004,4488,625,0.017343054900864293,1.3982457332049203,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,314159,314159,0.90000000000000002,4488,625,0.055672078684274769,2.0995952651396941,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,314159,314159,0.94999999999999996,4488,625,0.028512075872039553,2.3275556480381501,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260612,20260612,0.80000000000000004,4488,625,0.0017948808747635684,1.2980752626315442,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260612,20260612,0.90000000000000002,4488,625,0.016452923873666436,1.8020043406209578,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260612,20260612,0.94999999999999996,4488,625,0.017314343994881683,2.0543612932665711,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260613,20260613,0.80000000000000004,4488,625,0.019878013111793661,1.4033297313708017,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260613,20260613,0.90000000000000002,4488,625,0.03273948156436296,1.8769671652039737,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260613,20260613,0.94999999999999996,4488,625,0.018930933129113894,2.0759768964176324,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260614,20260614,0.80000000000000004,4488,625,0.0071038700460134994,1.3536228669872816,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260614,20260614,0.90000000000000002,4488,625,0.0035488096004530744,1.9179309106359483,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,2,20260614,20260614,0.94999999999999996,4488,625,-0.00068573746738608183,2.183176287009859,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.80000000000000004,4488,609,0.016294705004428311,1.4174615574921152,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.90000000000000002,4488,609,0.044215932169456733,1.869631196964697,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.94999999999999996,4488,609,0.057403063409776509,2.1193329459692416,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A1,closure_v1_primary,target_risk_chla_h,3,314159,314159,0.80000000000000004,4488,609,0.040069245416467066,1.5174014492289158,,,,,0,available,
