model_id,surface_id,endpoint,model_seed,seed_slot,nominal_coverage,breakdown_id,stratum,attempted_row_count,success_row_count,failure_row_count,location_count,empirical_coverage,absolute_coverage_error,mean_interval_width,median_interval_width,winkler_interval_score,status
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,predicted_risk_band,"[0,.25)",158,158,0,7,1,0.050000000000000044,1.6540177939231955,1.5793806887731832,1.6540177939231955,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,predicted_risk_band,"[.25,.5)",263,263,0,12,1,0.050000000000000044,1.4275390604498546,1.3934462581784124,1.4275390604498546,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,predicted_risk_band,"[.5,.75)",681,681,0,25,0.95154185022026427,0.0015418502202643181,1.3601018244588117,1.3452780628468541,1.4165313773869574,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,predicted_risk_band,"[.75,1]",767,767,0,19,0.97522816166883963,0.025228161668839677,1.4310052319550679,1.4221282004898059,1.5069372511805772,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,global,all,13464,1869,11595,33,0.81808453718566077,0.018084537185660721,0.88219967219418649,0.85961934601017043,1.1652246735459266,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,horizon,1,4488,635,3853,32,0.82362204724409449,0.023622047244094446,0.88957247625531333,0.87759110930787565,1.1592769988082179,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,horizon,2,4488,625,3863,33,0.81599999999999995,0.015999999999999903,0.86881850444379582,0.84599845460153555,1.1632563199961081,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,horizon,3,4488,609,3879,33,0.81444991789819376,0.01444991789819372,0.88824482698101515,0.85840373515494917,1.1734463392718406,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,predicted_risk_band,"[0,.25)",122,122,0,4,1,0.19999999999999996,1.135000200875268,1.0924676732866918,1.135000200875268,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,predicted_risk_band,"[.25,.5)",302,302,0,12,0.83112582781456956,0.031125827814569518,0.85832081861132981,0.82976439410398828,0.92986958365313976,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,predicted_risk_band,"[.5,.75)",713,713,0,24,0.66339410939691446,0.13660589060308559,0.85548579766930066,0.84628104490004408,1.4234275116654098,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,predicted_risk_band,"[.75,1]",732,732,0,19,0.93306010928961747,0.13306010928961742,0.87593839052639211,0.86935704871429997,1.0158612845216783,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.80000000000000004,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,global,all,13464,1869,11595,33,0.9165329052969502,0.016532905296950173,1.2299198878526696,1.2024640551004211,1.3674219752721803,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,horizon,1,4488,635,3853,32,0.91181102362204725,0.011811023622047223,1.1934940957428237,1.1774193057820437,1.3466815626646833,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,horizon,2,4488,625,3863,33,0.90880000000000005,0.00880000000000003,1.2089114703372765,1.1771586705673891,1.3672722783512492,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,horizon,3,4488,609,3879,33,0.92939244663382592,0.029392446633825897,1.2894611668951534,1.2461409831815629,1.3892014869000009,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,predicted_risk_band,"[0,.25)",122,122,0,4,1,0.099999999999999978,1.5861019441955382,1.5327548416432488,1.5861019441955382,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,predicted_risk_band,"[.25,.5)",302,302,0,12,0.99668874172185429,0.096688741721854266,1.1969137379168562,1.1627677919334287,1.1991858310583396,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,predicted_risk_band,"[.5,.75)",713,713,0,24,0.82328190743338003,0.076718092566619989,1.1904891664574506,1.1811198962576848,1.4268640245318194,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,predicted_risk_band,"[.75,1]",732,732,0,19,0.9603825136612022,0.060382513661202175,1.2225807495488128,1.2155991787154308,1.3424850602746499,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.90000000000000002,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,global,all,13464,1869,11595,33,0.96843231674692354,0.018432316746923583,1.4219466335742317,1.3875022825821646,1.4890103717355119,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,horizon,1,4488,635,3853,32,0.96377952755905516,0.013779527559055205,1.3960609339966212,1.3772578361291961,1.472934094114505,available
