reference,evaluation_cohort,evaluation_role,model_id,model_seed,seed_slot,horizon_months,attempted_row_count,ordinal_success_row_count,reference_available_row_count,evaluation_row_count,site_count,status,input_ineligible_row_count,target_unavailable_row_count,model_unavailable_row_count,numerical_failure_row_count,infrastructure_failure_row_count,not_applicable_row_count,rows,macro_f1,quadratic_weighted_kappa,ordinal_mae,severe_error_rate,recall_oligotrophic,recall_mesotrophic,recall_eutrophic,recall_hypereutrophic
tsi_tp_h,location_holdout,test,B1,20260614,20260614,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.36152332046186791,0.29893905552010214,0.8774193548387097,0.22838709677419355,0.72043010752688175,0.40425531914893614,0.34905660377358488,0.21367521367521367
tsi_tp_h,location_holdout,test,B1,20260614,20260614,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.28294851928516696,0.23703815564280672,0.99627329192546588,0.25590062111801243,0.57608695652173914,0.39160839160839161,0.234375,0.1721311475409836
tsi_tp_h,location_holdout,test,B1,20260614,20260614,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.31775756280245226,0.27110181366067365,0.98565840938722293,0.27379400260756193,0.58181818181818179,0.35971223021582732,0.23209876543209876,0.2831858407079646
tsi_tp_h,location_holdout,test,B2,1729,1729,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.41779941792361147,0.56631443828732264,0.66967741935483871,0.087741935483870964,0.89247311827956988,0.31205673758865249,0.37735849056603776,0.34188034188034189
tsi_tp_h,location_holdout,test,B2,1729,1729,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.47810530506665105,0.6061041622067953,0.52670807453416146,0.032298136645962733,0.59782608695652173,0.41258741258741261,0.5758928571428571,0.29508196721311475
tsi_tp_h,location_holdout,test,B2,1729,1729,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.47836424011636225,0.6517656607215323,0.500651890482399,0.041720990873533245,0.71818181818181814,0.35971223021582732,0.63950617283950617,0.24778761061946902
tsi_tp_h,location_holdout,test,B2,314159,314159,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.41779941792361147,0.56631443828732264,0.66967741935483871,0.087741935483870964,0.89247311827956988,0.31205673758865249,0.37735849056603776,0.34188034188034189
tsi_tp_h,location_holdout,test,B2,314159,314159,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.47810530506665105,0.6061041622067953,0.52670807453416146,0.032298136645962733,0.59782608695652173,0.41258741258741261,0.5758928571428571,0.29508196721311475
tsi_tp_h,location_holdout,test,B2,314159,314159,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.47836424011636225,0.6517656607215323,0.500651890482399,0.041720990873533245,0.71818181818181814,0.35971223021582732,0.63950617283950617,0.24778761061946902
tsi_tp_h,location_holdout,test,B2,20260612,20260612,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.41779941792361147,0.56631443828732264,0.66967741935483871,0.087741935483870964,0.89247311827956988,0.31205673758865249,0.37735849056603776,0.34188034188034189
tsi_tp_h,location_holdout,test,B2,20260612,20260612,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.47810530506665105,0.6061041622067953,0.52670807453416146,0.032298136645962733,0.59782608695652173,0.41258741258741261,0.5758928571428571,0.29508196721311475
