model,task,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,rmse_risk,mae_risk,false_alarms_per_site_year
persistence,classification_and_risk,2,train,1294854,0.5,206069,0.15914458309585483,0.5350137867996542,0.8591643767307542,0.16940254073706273,0.8111846032154278,0.697408068650422,0.32202827342491175,0.1974980029465183,0.8173809460607347
ridge_sgd,risk,2,train,1294854,0.5,206069,0.15914458309585483,0.1590735510296088,0.4997344749069494,0.8398298186513692,0.9978405291431511,0.13882622706941766,0.7536843494005755,0.641847359741779,3.6068300063707794
site_month,classification_and_risk,2,train,1294854,0.5,206069,0.15914458309585483,0.7738720648762729,0.948812508415739,0.09859421018351787,0.05767485648011103,0.5133117291012063,0.3267743995178585,0.2900360250947638,0.0019543692928434913
source_month,classification_and_risk,2,train,1294854,0.5,206069,0.15914458309585483,0.20380538505855122,0.5994773287605827,0.1316409166598823,0.0,0.4567742850322553,0.3894978612976129,0.3471132673889833,0.0
constant,classification_and_risk,2,validation,154216,0.5,19697,0.1277234528194221,0.1277234528194221,0.5,0.11239745984715553,0.0,0.4658908687897207,0.3836344825444007,0.34699366512793156,0.0
logistic_sgd,classification,2,validation,154216,0.5,19697,0.1277234528194221,0.3982929296192804,0.85679985107212,0.30865472469406474,0.8996801543382241,0.6031135406229768,,,1.1414585071404033
persistence,classification_and_risk,2,validation,154216,0.5,19697,0.1277234528194221,0.48853364966779955,0.8587290977439332,0.151968467146463,0.7774280347261004,0.6867804940084474,0.30757111970758644,0.1855484102502758,0.6488197477548217
ridge_sgd,risk,2,validation,154216,0.5,19697,0.1277234528194221,0.12740081388818278,0.4985483337529865,0.8704998184364787,0.994212316596436,0.11580187267844284,0.7829263901246188,0.6836237946676244,3.2912352161750995
site_month,classification_and_risk,2,validation,154216,0.5,19697,0.1277234528194221,0.4135987559247747,0.7810759651046406,0.09982399832446837,0.020155353607148298,0.48609700080611484,0.3534022339860121,0.3166949552748744,0.0016685478726014625
source_month,classification_and_risk,2,validation,154216,0.5,19697,0.1277234528194221,0.15927391938765156,0.5872235549599183,0.11150387872760854,0.0,0.4658908687897207,0.37880594471501694,0.34036394187719954,0.0
constant,classification_and_risk,3,test,99670,0.5,14639,0.1468746864653356,0.1468746864653356,0.5,0.12546843463149704,0.0,0.46037108624208856,0.3930715277884869,0.3555866532602354,0.0
logistic_sgd,classification,3,test,99670,0.5,14639,0.1468746864653356,0.6154781031595865,0.8818277422791689,0.11664552601627612,0.27098845549559397,0.6672818008196596,,,0.04182256880092317
persistence,classification_and_risk,3,test,99670,0.5,14639,0.1468746864653356,0.5131322132784368,0.8537871690035252,0.15890328889861396,0.7777853678529955,0.6942019040815985,0.3172083181693254,0.1933219727039109,0.6148547050389901
ridge_sgd,risk,3,test,99670,0.5,14639,0.1468746864653356,0.1469099987769068,0.5001408743525161,0.8526437242901576,0.999658446615206,0.1287092834685699,0.7658822453626045,0.6575458955723055,2.9715704444522153
site_month,classification_and_risk,3,test,99670,0.5,14639,0.1468746864653356,0.390022457808352,0.7417906046680192,0.11448380085828296,0.012159300498667942,0.47273138387965413,0.3696896610999466,0.33269340152001214,0.0009091862782809385
source_month,classification_and_risk,3,test,99670,0.5,14639,0.1468746864653356,0.18422638541230946,0.5946027359848476,0.12429051104104498,0.0,0.46037108624208856,0.3880506312160025,0.35093321737690164,0.0
constant,classification_and_risk,3,train,1189253,0.5,189990,0.15975574583372923,0.15975574583372923,0.5,0.13423384750683814,0.0,0.45659387457071365,0.3951627312957423,0.3549332103620568,0.0
logistic_sgd,classification,3,train,1189253,0.5,189990,0.15975574583372923,0.5883701994137556,0.8621762526102111,0.12956545594040225,0.25939786304542345,0.6550704684236048,,,0.059481936018610744
persistence,classification_and_risk,3,train,1189253,0.5,189990,0.15975574583372923,0.49086697721830375,0.834093321193215,0.18053011374389463,0.774893415442918,0.6810347676154255,0.3478194119007592,0.21972325067855167,0.8155119695207316
ridge_sgd,risk,3,train,1189253,0.5,189990,0.15975574583372923,0.15975627695685893,0.5000019783436648,0.8401298966662266,0.9998368335175536,0.13791386409719827,0.7515962930510459,0.6393186395677971,3.4794007229771613
site_month,classification_and_risk,3,train,1189253,0.5,189990,0.15975574583372923,0.7780189578842982,0.9496621187956479,0.09949010199273772,0.05274488130954261,0.5085681425371605,0.3289526869585823,0.29250149852814633,0.0015950074178292576
source_month,classification_and_risk,3,train,1189253,0.5,189990,0.15975574583372923,0.20732109288775266,0.6032449221487101,0.13189727976768206,0.0,0.45659387457071365,0.3891098094868357,0.3467226592398262,0.0
constant,classification_and_risk,3,validation,136038,0.5,17377,0.127736367779591,0.127736367779591,0.5,0.11244502869704188,0.0,0.4658871844805044,0.3843924593305114,0.3481788062450126,0.0
logistic_sgd,classification,3,validation,136038,0.5,17377,0.127736367779591,0.5409955533238126,0.8667564657759543,0.10793646351155368,0.22080911549749668,0.6393254320362224,,,0.037247507361677944
persistence,classification_and_risk,3,validation,136038,0.5,17377,0.127736367779591,0.4496303047944157,0.8374439786396404,0.1571753669692507,0.7394256776198423,0.6760758271076831,0.3288294358897163,0.20323760626804016,0.6029859998966782
ridge_sgd,risk,3,validation,136038,0.5,17377,0.127736367779591,0.1277987455409976,0.5002797855377679,0.8711757009070995,0.9991943373424642,0.11466987654675201,0.7812537723163173,0.681367853505549,3.0608823681355584
site_month,classification_and_risk,3,validation,136038,0.5,17377,0.127736367779591,0.4139047586497672,0.778015074031573,0.10057157530662705,0.016803821142890026,0.4828358863814171,0.3565069177771982,0.32051043485421055,0.000955726610528491
source_month,classification_and_risk,3,validation,136038,0.5,17377,0.127736367779591,0.16404248968506907,0.5951610529887276,0.11138133199178922,0.0,0.4658871844805044,0.3786771375045793,0.34040944486024943,0.0
